category,city,about,reference,country,company,zipcode,website,sector,address,employees,turnover,selection,dep_str,cgpa_criteria,criteria,profile,cgpa_cutoff,day,package,contract
"
Private
",Pune,"Title Data Engineer, ETL Platform - Data & Services Creative product opportunities, modern business questions, and intricate datasets present uniquely challenging problems for organizations. At Mastercard data and services, we empower those organizations to make multi-million dollar data-driven decisions. Our next generation platform blends industry-leading analytics, advanced software architecture, and the latest web technologies. As a member of our Technology team, you will play a vital role within a rapidly growing firm, working closely with experienced and driven engineers to solve these problems. ETL Platforms is part of MasterCard Data & Services group and one of the most rapidly growing organization in the space. Platform Teams provides cloud-based analytic software tools that enable large, consumer-focused businesses to seize the Big Data analytics opportunity by triangulating between business strategy, algorithmic math, and large databases to improve decisions. 100 of the largest corporations in the world uses these products. Test & Learn for Sites, Test & Learn for Customers, Test & Learn for Ads, and other similar products employ patented algorithms and workflow to design and interpret business experiments that evaluate, target, and refine proposed business programs The ETL Platform team is a core component to consulting services, managing the data acquisition, integration and transformation of client provided data within the Test & Learn platform for global engagements. This position is based out of our office in Pune, India, but will be working closely with our teams across the globe
Join a fast growing team
The Data Engineer will participate on data management aspects of client engagements to deliver Test & Learn solutions, as well as contribute to and foster a high performance collaborative workplace. A Data Engineer will:  Independently executes projects through design, implementation, automation, and maintenance of large scale enterprise ETL processes for a global client base  Act as an expert data resource within the team  Deliver on-time, accurate, high-value, robust data solutions across multiple clients, solutions and industry sectors  Build trust-based working relationships with peers and clients across local and global teams  Implement best practices and collaborate in the design of effective streamlined processes for a complex global solutions group
 Leverage industry best practices including proper use of source control, participation in code reviews, data validation and testing  Comply and uphold all MasterCard internal policies and external regulations
Ideal Candidate Qualifications
What we're excited about:
 B.Tech/M.Tech. in any discipline
 Excellent English quantitative, technical, and communication (oral/written) skills
 Able to work in a fast-paced, deadline-driven environment as part of a team and as an individual contributor
 Demonstrate skills through innovative and critical thinking as well as quality control
 Flexible to work with global offices across several time zones
 Knowledge of any scripting language (VB Script, Perl, Python), a plus
 Knowledge of RDBMS technologies, Microsoft SQL Server, the SSIS Stack and .Net, a plus","
Contacted by CDC
",India,Mastercard,411057,https://www.mastercard.co.in/en-in.html,"
IT/Software,Analytics,Consulting
","
Business Bay Yerwada, Pune
",>5000,>5000,Online/Offline test (Max 30 mins),AE_AG_AR_BT_CL_CH_CY_CE_ES_GG_HS_IM_MS_ME_MT_MI_NA_PH_ID_RT_WM,6,"10th and 12th -                  75% and above ; 

Highest Degree                6.0 CGPA and above","Data Engineer, ETL Platform - Data & Services",6.0,2,"1200000 INR  [13,48,400]",NO
"
MNC
",Tokyo,"'1.
'- Application software development for the MFPs for the offices and the printers for  commercial prints, Cloud/Mobile applications development, Solutions development, Embedded software's development, Image processing algorithm development, Electric hardware development,  ASIC development, Energy saving technologies development, Eco technologies development, Technologies development of countermeasures against  radio waves/noises

- Image processing technologies development in printer development of industrial ink-jet machines (mainly textile printers, digital printing presses),  Software's / firmware's development, Electric hardware development.

2.
-System embedded software development, System LSI design. 
- WEB systems development 
- Back-end-system design for cloud services  
- Whole company promotion activities of an agile type development process.  
- Image-recognition algorithm development which utilized data analysis technology (deep learning, machine learning)","
Self
",Japan,Konica Minolta,1007015,https://www.konicaminolta.jp/about/recruit/stu/index.html,"
IT/Software
","JP Tower, 2-7-2, Marunouchi, Chiyoda-ku, Tokyo, 100-7015",>5000,>5000,"Resume,Online/Offline test (Max 30 mins)",AT_AE_AG_AR_BT_CH_CY_CE_CS_EE_EC_ES_GG_TE_HS_IM_MA_ME_MT_MI_NA_PH_RE,,"Work Location: Japan(such as in Tokyo, Aichi, Osaka,Hyogo) or overseas
Other Benefits: 
Childcare allowance, 
Cafeteria plan (open selection of benefits: reimbursement for participating seminars, classes, health related activity etc.),
Discretionary work allowance, 
Employment insurance,
Health insurance, etc.",Research & Development Engineer,0.0,4,"4032150 JPY  [CTC:
Phd: 4713750 JPY
Master: 4356150 JPY
B Tech: 4032150 JPY
Monthly Salaries:
Ph.D.：285,350JPY
Master：255,550JPY
Bachelor：228,550JPY
Annual Salaries 
Ph.D.：3424200JPY
Master：3066600JPY
Bachelor：2742600JPY

Fixed Bonus: 450,150JPY/ Year, paid bi annually 

Housing Dormitory Support: 25000JPY/Month (300000JPY/year)
Commutation :　32200JPY/month ( 386400JPY/Year)
Moving Expense: 63000JPY ( one time )
Personal transfer allowance:  90000JPY ( one time )]",NO
"
Private,MNC
",Gurgaon,"Department Description  
India Research Center (IRC) is located at Hyderabad, Telangana, and is responsible for research and development of various product lines of Process Automation division of Industry BU. The current strength of the department is around 50 engineers, who are working on various cutting edge technologies under diversified areas such as hardware development, firmware development, and application software development for Process Automation solutions. The department owns the various product lines for PA:
1.	SCADA: This is one of the legacy products under the brand name Foxboro consisting of two types of products called Master Telemetry Units (MTU) and Remote Telemetry Units (RTU). 
2.	Engineering Workbench: This is the tool used for the engineering of distributed control systems under the brand name Foxboro. 
3.	Triconex: This product line is the leader in safety critical PLC segment in industry. The team in IRC develops and maintains various configuration and diagnostic tools for Triconex PLCs
4.	Condition Monitoring: This product line offers various solutions for plant equipment condition monitoring.
The IRC also works on Innovation projects in the field of machine learning and IoT.
Job Description 
1.	Embedded Firmware Engineer:
-	Design and develop embedded firmware for microcontroller based industrial control system.
-	Define and implement high performance software by leveraging the understanding of embedded hardware

2.	Application Software Engineer:
-	Design and develop application software for industrial control system
-	Define and implement high performance software by leveraging the understanding of the control system and process automation know how.
We are looking at selecting candidates :
1.	Embedded Firmware Engineer:
-	Experience of Assembly and C programming is must
-	Good understanding of Operating Systems fundamentals is must.
-	Understanding of Real Time Operating Systems is added advantage but not mandatory
-	Good understanding of communication and networking is must.
2.	Application Software Engineer:
-	Experience in C# / .Net / JAVA programming
-	Good understanding of Operating Systems fundamentals is must.
-	Good understanding of Design patterns is must
-	Nice to have understanding of Web programing using Service Oriented Architecture
The candidates must have strong communication skills, self-motivation and ability to work with a diversified team.","
Self
",India,Schneider Electric,122002,se.com/in,"
Core Engineering
","DLF Building, Tower C, N-10, DLF Cyber City, DLF Phase 2, Sector 24,",>5000,,"Resume,Online/Offline test (Max 30 mins)",AE_AG_BS_BT_CH_CE_CS_EE_EC_EV_IM_ME_MT_MI_NS_NA_MM,,"Test duration will be 60 mins.
Dual Degree students will be hired at same CTC, with designation as GET only.",Graduate Engineer Trainee - Embedded Firmware /Application Software,0.0,6,"1100000 INR  [Basic+Statutory Allowances+PF+Medical Insurance Premium+10% Annual Performance Bonus.In addition, there is a 3 lakh bonus paid as follows: 50% on the 1st year anniversary. The remainder on the 2nd year anniversary. (THIS 3 LAKH AMOUNT IS NOT SHOWN UNDER THE 11 LPA CTC FIGURE, BUT YOU ARE ASSURED YOU WOULD RECEIVE IT.)]","Service Agreement:
Commitment of 2 years of service after joining. In case a student wishes to terminate his employment before completing 2 years with us, the student would need to pay us INR 2 lakh please."
"
StartUp
",Bangalore,"Business Analyst- General

Roles and Responsibilities:
	Role involves working with the founding team on multiple cross functional initiatives- e.g., explore new initiatives like last mile industry specific solutions, line haul solutions; and overall planning; run analytics; manage hiring process, help prepare for investor interactions
	Will graduate to taking on significant ownership in other functions- e.g., operations, analytics, sales, product, partner training

Skills Required:
	Highly analytical, strong problem-solving skills
	Ability to understand and layout a step by step way of working, be able to convince other people to follow
	Strong communication skills- with senior folks as well as operational frontline teams, including partners who are lesser educated
	Prior work experience in e-commerce / logistics/ other startups / other ops roles is a big plus
	Ability to multi-task and prioritize effectively

Other Personal Attributes:
	Strong, demonstrated people leadership skills
	Result oriented and street smart
	Very flexible to take on multiple roles as the situation demands
	High energy, high tenacity
	Should have wanderlust
	Should be ready to be take on the tough role of being the fun champion","
Alumini Contact
",India,LoadShare Networks,560047,https://www.loadshare.net/,"
Ecommerce,Others
","LoadShare Networks, 2nd and 3rd Floor, 509, 6th Cross, 6th Block, Koramangala",Between 100 to 500,,Resume,AE_AG_AR_BT_CH_CY_CE_CS_EE_EC_GG_HS_IM_MA_ME_MT_MI_NA_PH,,The student should be open to join and work at any of the offices of LoadShare Networks. The student should be open to travel.,Management Trainee,0.0,6,"950000 INR  [8,50,000 Fixed/ Base + 50,000 Variable + 1,00,000 Joining Bonus]",No
"
MNC
",Mumbai,"Divisional Overview:
The Risk Management Division encompasses the firm's comprehensive risk framework responsible for determining and managing the overall risk appetite for the firm. The division is responsible for effectively managing the firm's risk-return profile which ensures the efficient deployment of the firm's capital. It is one of the firm's core competencies and is independent of the trading areas and operational areas. The Risk Management Division in India comprises:
	Market Risk Management
	Credit Risk Management
	Quantitative Risk Management

Business Unit Overview:
Quantitative Risk Management - Model Validation:
The Model Validation Group is a global team which validates and documents all in-house trading and risk models across all divisions and geographical locations. The trading models cover derivative pricing models in different asset classes like rates, FX, Credit while the risk models would include amongst others Value at Risk, counterparty exposure and stress testing models. The models are highly mathematical and the incoming candidates would be expected to have strong mathematical background in some or all of the following areas
1)	Ordinary multivariate calculus 
2)	Applied probability methods
3)	Statistical methods
4)	Partial differential equations
5)	Stochastic calculus
In terms of career prospects, the candidate would be expected to develop specialisation in the models described above which is a multi-disciplinary field that could encompass the mathematical models, concepts of quantitative finance and econometrics.

Role & Responsibilities:












Mind Set: 


	
Domain	
	Qualification, Experience & Skills: Strong understanding of ordinary calculus and applied probability methods is mandatory
	Exposure to statistics and/or stochastic calculus is preferable
	Prior exposure to quantitative finance concepts is preferable
	Competency in one or more major programming languages (C++, python) is highly preferred (at the very least exposure to procedural programming)
	Attention to detail 
	Good written communication in English 
         CGPA - 7.0 & above



Useful links related to the type of work done by the group are mentioned below

-	https://en.wikipedia.org/wiki/Itô_calculus
-	https://en.wikipedia.org/wiki/Black-Scholes_equation
-	https://en.wikipedia.org/wiki/Value_at_risk","
Self
",India,Nomura Structured Finance Services India Pvt. Ltd.,400076,www.nomura.com,"
Finance
","
Hiranandani Busienss Park, Nomura Building, Powai
",>5000,,Resume,AE_AG_AR_BS_BT_CH_CY_CE_CS_EE_EC_GG_HS_IM_MA_ME_MT_MI_NA_PH,,N/A,Global Risk - Quantitative Risk Management - Model Validation,7.0,1,1400000 INR  [1400000 + 100000 Lakh sign-on bonus],No
"
MNC
",Mumbai,"Business Unit Overview: 

The regional and divisional strategy teams are pivotal in shaping Nomuras longer term strategy for Wholesale. The work of the strategy team includes market entry strategy, business performance review, analysis of Nomuras operating model, acquisition screening and market & competitor analysis. The team works directly with senior management across the businesses to determine the right strategy for reaching Nomuras Wholesale aspirations in the rapidly changing market environment.

Role & Responsibilities: 
	Work as a part of the Wholesale Strategy division on global, regional and divisional projects 
	Conduct analysis of the competitive and general macro / market environment based on public data and industry reports used for senior management presentations. Consolidate/analyze quarterly financial results for Nomura and competitors
	Support strategy team seniors / business on special / ad-hoc projects (for e.g.: impact of changing regulations on capital market business, acquisition screening / evaluation, impact of Brexit on global banking industry, assessing FinTech opportunity etc.) 
	Prepare presentations for senior management board meetings, town halls and off sites 
	Most of the projects require working closely with strategy team members, business CAOs, finance and other functional teams in different regions; working independently or with the support of another member of the team






Skills Required 
	Strong analytical and excel skills 
	Strong with PowerPoint and presentations 
	Quick Learner 
	High quality communication skills
	Attention to detail
	Ability to multi-task efficiently and meet project deadlines
	Deep interest in capital markets
	Minimum CGPA 8
	BE + Dual Degree final year students (IIT-JEE only)

How to Apply 
Please send your resume to your placement cell.","
Self
",India,Nomura Structured Finance Services India Pvt. Ltd.,400076,www.nomura.com,"
Finance
","
Hiranandani Busienss Park, Nomura Building, Powai
",>5000,,"Resume,GD",AE_AG_AR_BT_CH_CY_CE_CS_EE_EC_GG_HS_IM_MA_ME_MT_MI_NA_PH,,N/A,Wholesale Strategy Analyst,8.0,1,1400000 INR  [1400000 + 100000 sign-on bonus],NO
"
MNC
",Bangalore,Post Gradudate Engieer Trainee - Data Science/ Computer science,"
Contacted by CDC
",India,Mercedes-Benz Research and Development India,560066,https://mbrdi.co.in,"
Core Engineering,IT/Software,Automobile
","Plot No 5P, Road number 16, KIADB Export Promotion Industrial Area, Whitefield, Bangalore, Karnataka 560066",>5000,,"Resume,Online/Offline test (Max 30 mins)",AT_AE_AG_BS_BT_CL_CH_CY_CE_CS_EE_EC_ES_GG_TE_HS_IM_MS_MA_ME_MT_MI_NA_PH_RT_WM_RE,,"60% Throughout academics (10th, 12th & Engineering)",Post Gradudate Engieer Trainee - Data Science / Computer Science,,3,"900011 INR  [Total CTC 9,00,011 (Basic 319368 | HRA 127752 | Other Allowance 351288 | PF 38,325 )]",NO
"
MNC
",Bangalore, Java Development  Systems modeling and simulation  Cyber Security,"
Contacted by CDC
",India,Mercedes-Benz Research and Development India,560066,https://mbrdi.co.in,"
Core Engineering,IT/Software,Automobile
","Plot No 5P, Road number 16, KIADB Export Promotion Industrial Area, Whitefield, Bangalore, Karnataka 560066",>5000,,"Resume,Online/Offline test (Max 30 mins)",AT_AE_AG_BS_BT_CL_CH_CY_CE_CS_EE_EC_ES_GG_TE_HS_IM_MS_MA_ME_MT_MI_NA_PH_RT_WM_RE,,"60% Throughout academics (10th, 12th & Engineering)",Post Gradudate Engineer Trainee - Cyber Security,,3,"900011 INR  [Total CTC 9,00,011 (Basic 319368 | HRA 127752 | Other Allowance 351288 | PF 38,325 )]",NO
"
Other
",Gurgaon,"Are you interested in taking part in building the most exciting mobile platform in the world? Used by millions of people in the world, the Uber mobile app re-invented the world of transportation, and every day we work fearlessly towards one goal: make transportation for everyone as easy and reliable as possible around the world.
 
We are looking for exceptional engineers willing to share this challenge as members of our program teams. You will play a central role in the end-to-end development of entire new functionalities aimed at Android or iOS devices, working side-by-side with our backend and design specialists. In Uber you will be empowered with trust to make the right decisions, a community of inspiring peers, a hyper-advanced technological stack and, of course, a real opportunity to shape our times.
 
We expect from you a true passion for crafting software with rapidity and the highest quality, confidence in taking the lead in solving complex problems, and just the right mix of un-compromised individual dedication and a sharp attitude for un-tapping your groups potential by seeking convergence and acting as a mentor, every day.
 
WHAT ARE WE LOOKING FOR?
Strong coding abilities. You have advanced knowledge of at least one programming language, and of OOP patterns. Youve used programming tools (e.g. version control) and already have a couple of full stack projects under your belt. 
Fast learner. Were looking for software engineers who perk up learning new technologies or a new partner API. You keep yourself up-to-date with the latest technological trends. Youre constantly on the lookout for opportunities to try out new things. 
Speed and quality. You strive on proving that these are not mutually exclusive  that you can achieve both at the same time. You obsess about delivering business results as fast as possible. 
Ownership. You feel ownership over everything you ship; youd never call code released until youre confident its correct, fast and elegant. You pride yourself on thorough monitoring, concise up-to-date documentation, and adequate test coverage. 
You thrive in a startup culture where all hands are on deck, and consider no challenge too big or too small. 
A standout colleague. You believe that you can achieve more when you work in a team  that the whole is greater than the sum of its parts. You rely on others candid feedback for continuous improvement. You want to work with different finance, mobile, product, design and fraud teams to build the best solution for Uber. 
Design and business insight. You understand requirements beyond the written word. Whether youre working on an API used by other developers, an internal tool consumed by our operation teams, or a feature used by millions of customers, your attention to detail leads to a delightful user experience. 

ELIGIBILITY CRITERIA:
B.Tech or Integrated Dual Degree (anticipated graduation in 2020) in Computer Science, Electronics Eng, Electrical Engineering, Mechanical or Mathematical Sciences or related fields


Strong data skills and the ability to learn to use tools such as SQL, Python, R, and GIS mapping tools to work efficiently at scale


The capacity to work independently and execute with minimal oversight


The ability to organize and synthesize analyses and communicate data insights with clarity


Enthusiasm for learning and growth


The rare opportunity to change the world such that everyone around you is using the product you built. Were not just another social web app, were moving real people and assets and reinventing transportation and logistics globally.","
Self
",India,Uber India Systems,122002,www.uber.com,"
IT/Software
",DLF Phase 5 Sector 43 Golf Course Road,Between 1000 to 5000,,Online/Offline test (Max 30 mins),AT_AE_AG_AR_BT_ET_CL_CH_CY_CE_CS_EE_EC_ES_GG_TE_HS_IM_MS_MA_ME_MT_MI_NA_PH_ID_RT_WM_RE,,,Software Engineer (2019-20),0.0,1,"3468040 INR  [Uber Domestic Offer - Campus 19-20		
COMPONENT	VALUE	DESCRIPTION
Base	₹1,800,000.00	
Retirals	₹151,290.00	Includes Employer PF + Gratuity
Joining Bonus	₹200,000.00	Lump sum payout in first payroll cycle (after due witholding of taxes) with 1-yr claw back
New Hire Stock Grant	₹780,750.00	$45,000 USD vesting over 4 years (currency conversion factor of $1 = INR 69.40)
Target Cash Bonus	₹200,000.00	1x multiplier; can range between (0 - 2)x basis performance
Perks (per annum)	₹136,000.00	Uber free rides worth INR 36,000 + Wellness Allowance worth INR 54,000 + Mobile Allowance worth INR 36,000 + Medical Insurance Premium worth INR 10,000
Relocation Allowance	₹200,000.00	Reimbursement on actuals basis eligibility
TOTAL CTC	₹3,468,040.00	
In addition there is also a Target Equity Refresh component (which we cannot quantify at present) that comes along with Target Cash Bonus.]",NO
"
Private
",Bangalore,"Software Development Engineer We are looking for a passionate, hard-working, and talented Software Development Engineer who can build innovative & mission critical system software applications & tools. You will have an enormous opportunity to make a large impact on the design, architecture, and development of consumer products. You will be responsible for delivery and support of large-scale, multi-tiered, distributed software applications and tools. Responsibilities Include  Ability to design and code right solutions starting with broadly defined problems.  Drive best practices and engineering excellence.  Work with other team members to develop the architecture and design of new and current systems.  Work in an agile environment to deliver high quality software. Basic Qualifications Required  Candidates must have a Bachelors/ Masters in Computer Science or Engineering or related field.  Excellent problem solving skills.  Possess an extremely sound understanding of areas in the basic areas of Computer Science such as Algorithms, Data Structures, Object Oriented Design, Databases.  Be able to write Amazon quality code in an object oriented language - preferably in C/C++/Java in a Linux environment.  Candidate must have good written and oral communication skills, be a fast learner and have the ability to adapt quickly to a fast-paced development environment.","
Self
",India,Amazon India,560055,https://www.amazon.jobs/,"
IT/Software
","26/1, Brigade Gateway, Dr Rajkumar Rd, Malleshwaram West, Bangalore, Karnataka 560055",>5000,,Online/Offline test (Max 30 mins),AT_AE_AG_AR_BS_BT_CH_CY_CE_CS_EE_EC_ES_GG_TE_HS_IM_MS_MA_ME_MT_MI_NA_PH_EP_ID_RT_MM_WM_RE,,,Software Development Engineer,0.0,2,"3050000 INR  [3050000 INR [BASE - 1350000 (BTECH) / 1400000 (MTECH+DUAL) SIGNING BONUS Year 1 - 350000 SIGNING BONUS Year 2 - 300000 RSUS - 1000000 (IN INR, ACROSS 4 YEARS)]]",NO
