category,city,about,reference,country,company,zipcode,website,sector,address,employees,turnover,selection,dep_str,cgpa_criteria,criteria,profile,cgpa_cutoff,day,package,contract
"
Private
",Pune,"Be part of the Platforms Team at Mastercard, Data and Services Creative product opportunities, modern business questions, and intricate datasets present uniquely challenging problems for organizations. At Mastercard we empower those organizations to make multi-million dollar, data-driven decisions. Our platform blends industry-leading analytics, advanced software architecture, the latest web technologies, and powerful, world-class data sources. As a member of our Platforms team, you will play a vital role, working closely with experienced software engineers to solve these problems. Make an Impact as a Software Development Engineer What this means for you:  Apply your skills in computer science and software engineering to design and develop state-of-the-art service-oriented software architectures  Learn and use math, statistics, and design to solve important problems faced by some of the world's largest organizations  Innovate while playing a central role on small teams in developing a powerful suite of web applications  Create cutting-edge algorithms and analytical techniques to push the boundaries of powerful, scalable applications with massive data sets  Build expertise in full stack development with supportive colleagues who are invested in your growth Additionally, you may choose to focus on software infrastructure engineering:  Learn and master a diverse set of languages, frameworks, and industry standard tools.  Build infrastructure that enables a global engineering team to innovate efficiently and effectively.  Scale technical systems by designing and implementing APIs and automating workflows. Or focus on front end software engineering:  Create intuitive data visualizations, responsive designs, and highly interactive user interfaces with reusable components and scalable frameworks  Leverage new technologies and approaches to continually improve the usability and experience of our software Whatever path you choose - full stack, infrastructure, or front-end - you will collaborate across teams with exceptional peers who are passionate about what they do. Bring your passion and expertise What we're excited about:  Proficiency with advanced object-oriented programming
 Deep understanding of algorithms and data structures  Passion for solving varied and complex real-world problems  Initiative and creativity in approaching new challenges  Ability to thrive on small, highly collaborative project teams  Solid technical foundation with a degree in Computer Science or related field  If interested in a front end role, eagerness to master a front end technology stack and a passion for user experience and complex design and usability problems Mastercard Worldwide","
Contacted by CDC
",India,Mastercard,411057,https://www.mastercard.co.in/en-in.html,"
IT/Software,Analytics,Consulting
","
Business Bay Yerwada, Pune
",>5000,>5000,Online/Offline test (Max 30 mins),AT_CS_EE_EC_TE_MA_RE,6,"10th and 12th -                  75% and above

Highest Degree                6.0 CGPA and above",Software Development Engineer,6.0,,"1500000 INR  [16,73,000]",NO
"
Private
",Pune,"Be part of the Product Development Team at Mastercard, Data and Services
Technical Product Managers work as part of our product teams, playing a meaningful role in developing and executing Data and Services' product vision. On the software side: PM-Ts drive products and features from conception to release, working closely with UX designers, software engineers, and quality assurance engineers to build analytically sophisticated and intuitive products. On the business side: PM-Ts assist in client delivery, partnering with consultants, sales & marketing, and Data and Services' clients to maximize our impact on some of the world's largest companies in retail, banking, restaurants, insurance, and other industries.
Make an Impact as a Technical Product Manager
As a PM-T, you will manage the development of one or several analytic products serving a wide breadth of industries. Mastercard's diverse suite of products enables PM-Ts to work on a variety of exciting projects, including:
 User research - You will lead the discovery phase of new features. What business problems are users trying to tackle? How are they doing that today, both in our software and externally? What are their biggest pain points with that process, and how can we design a product which best helps them?
 Prioritization - You will partner with roles across the organization including consultants, engineering, and sales to determine the highest priority problems to solve.
 Solution Scoping - You will evaluate trade-offs between many possible solutions to a problem, taking into account usability, technical feasibility, client timelines, and differing stakeholder opinions to make a decision.
 Release Management - Mastercard believes in an agile approach to software development, so PM-Ts break large features into smaller, releasable milestones to collect feedback from users as early as possible. You will be responsible for evangelizing releases to users, incorporating feedback, and tracking usage to inform future development.
PM-Ts also dive deeper into:
 Analytic Investigations - We are an analytics company. PM-Ts partner with engineers and consultants to develop innovative analytic solutions to complex business problems.
 Design Projects - At Mastercard, design isn't left just to CX designers. Together with designers, PM-Ts create mockups for features, overhaul existing designs, and institute innovative UX paradigms.
 Product Marketing - PM-Ts collaborate with sales & marketing to craft the best way to communicate the value of our products to potential clients.
How will I do that?
As a PM-T, you will sit and work with small, cross-functional engineering teams dedicated to one or more of Mastercard, Data and Services products.
 You will work with the team to define a vision, establish team culture and processes, and create functional requirements and designs.
 Given our emphasis on agile development, you will share ideas early, collaborate with teammates, and rapidly incorporate new feedback and ideas.
 You will quickly develop skills in universally-used software such as SQL and R, and gain experience in industry-standard software like InVision, Splunk, and the Atlassian suite.
 You will stay engaged throughout the feature life cycle, bridging gaps between designers, engineers, consultants, and users.
What does this mean for me?
PM-Ts grow rapidly in their careers, receiving mentorship from senior leaders and taking advantage of the diverse opportunities Mastercard offers:
 Grow as a product leader by owning team direction and evangelizing the product vision throughout the organization
 From day one, learn to make tough decisions that have a significant impact on Mastercard's products and users
 Work closely with several roles including UX designers, software engineers, quality assurance engineers, and consultants
 Craft an ideal work environment by helping shape team processes and culture
 Gain experience in a variety of skills from data analysis to design and focus on areas which interest you most
 Gain a deep understanding of intricate business processes across clients and industries
Bring your Passion and Expertise
PM-Ts are effective communicators, skilled multi-taskers, and highly organized with an acute attention to detail. PM-Ts have a strong interest in problem solving, good business sense, and an eagerness to learn. PM-Ts are passionate about technology and software, think critically about design, and they can readily list 5 improvements they would make to their favorite app or website. Prior software and/or product management experience is a plus.","
Contacted by CDC
",India,Mastercard,411057,https://www.mastercard.co.in/en-in.html,"
IT/Software,Analytics,Consulting
","
Business Bay Yerwada, Pune
",>5000,>5000,Online/Offline test (Max 30 mins),AT_CS_EE_EC_TE_MA_RE,6,"10th and 12th -                  75% and above ; 

Highest Degree                6.0 CGPA and above",Associate Analyst- Product Manager-Technical,6.0,,"1500000 INR  [16,73,000]",No
"
MNC
",Tokyo,"'1.
'- Application software development for the MFPs for the offices and the printers for  commercial prints, Cloud/Mobile applications development, Solutions development, Embedded software's development, Image processing algorithm development, Electric hardware development,  ASIC development, Energy saving technologies development, Eco technologies development, Technologies development of countermeasures against  radio waves/noises

- Image processing technologies development in printer development of industrial ink-jet machines (mainly textile printers, digital printing presses),  Software's / firmware's development, Electric hardware development.

2.
-System embedded software development, System LSI design. 
- WEB systems development 
- Back-end-system design for cloud services  
- Whole company promotion activities of an agile type development process.  
- Image-recognition algorithm development which utilized data analysis technology (deep learning, machine learning)","
Self
",Japan,Konica Minolta,1007015,https://www.konicaminolta.jp/about/recruit/stu/index.html,"
IT/Software
","JP Tower, 2-7-2, Marunouchi, Chiyoda-ku, Tokyo, 100-7015",>5000,>5000,"Resume,Online/Offline test (Max 30 mins)",AT_AE_AG_AR_BT_CH_CY_CE_CS_EE_EC_ES_GG_TE_HS_IM_MA_ME_MT_MI_NA_PH_RE,,"Work Location: Japan(such as in Tokyo, Aichi, Osaka,Hyogo) or overseas
Other Benefits: 
Childcare allowance, 
Cafeteria plan (open selection of benefits: reimbursement for participating seminars, classes, health related activity etc.),
Discretionary work allowance, 
Employment insurance,
Health insurance, etc.",Research & Development Engineer,0.0,4,"4032150 JPY  [CTC:
Phd: 4713750 JPY
Master: 4356150 JPY
B Tech: 4032150 JPY
Monthly Salaries:
Ph.D.：285,350JPY
Master：255,550JPY
Bachelor：228,550JPY
Annual Salaries 
Ph.D.：3424200JPY
Master：3066600JPY
Bachelor：2742600JPY

Fixed Bonus: 450,150JPY/ Year, paid bi annually 

Housing Dormitory Support: 25000JPY/Month (300000JPY/year)
Commutation :　32200JPY/month ( 386400JPY/Year)
Moving Expense: 63000JPY ( one time )
Personal transfer allowance:  90000JPY ( one time )]",NO
"
MNC
",Bangalore,Software Engineer ( Research ),"
Self
",India,"Samsung R&D Institute, Bangalore",560037,research.samsung.com/sri-b,"
IT/Software
","#2870, Phoenix Building, Bagmane Constellation Business Park",,,"Resume,Online/Offline test (Max 30 mins)",AT_CS_EE_EC_TE_MA,,,Software Engineer ( Research ),0.0,2,"2500000 INR  [Annual CTC  25 Lacs 
Total target Compensation  39 lacs (Bonuses spread across 3 years )

Break-up of Salary:
 [18L (Annual Gross) + 3L *(Retention bonus) + 4L ** (Sign On Bonus)

* Total Retention Bonus = 9 lacs will be paid as guaranteed for 3 years only (3 lacs each year). This will be paid in equal instalments at every 6 months of service completion. 

**Total Sign-On Bonus = 12 lac will be paid 3 years only ( 4 lacs each year) . The payouts will happen along with the 12th, 24th and 36th month salary.

*** In Addition to the above distance based relocation bonus ranging from (30k to 50k) is given to outstation candidates.

**** First Week Accommodation is provided by the company.]",No
"
MNC
",Bangalore,"Software Engineer ( Developer )
Only for M.tech students","
Self
",India,"Samsung R&D Institute, Bangalore",560037,research.samsung.com/sri-b,"
IT/Software
","#2870, Phoenix Building, Bagmane Constellation Business Park",,,"Resume,Online/Offline test (Max 30 mins)",AT_CS_EE_EC_ES_TE_MA,,,"Software Engineer ( Developer )
Only for M.tech students",0.0,2,"2200000 INR  [Annual CTC  22 Lacs 
Total target Compensation  29 lacs ( Bonuses spread across 2 years)


Break-up of Salary:
 [15L (Annual Gross) + 3L *(Retention bonus) + 4L ** (Sign On Bonus)

* Total Retention Bonus = 6 lacs will be paid as guaranteed for 2 years only (3 lacs each year). This will be paid in equal instalments at every 6 months of service completion. 

**Total Sign-On Bonus = 8 Lacs  will be paid 2 years only ( 4 lacs each year) . The payouts will happen along with the 12th, 24th month salary.

*** In Addition to the above distance based relocation bonus ranging from (30k to 50k) is given to outstation candidates.

**** First Week Accommodation is provided by the company.]",NO
"
MNC
",Bangalore,"Job Description

We are Cisco: The Internet of Everything is a phenomenon driving new opportunities for Cisco and it is transforming our customers businessesworldwide.Wearepioneersandhavebeensincetheearlydaysofconnectivity. Today,wearebuildingteams that are expanding our technology solutionsin the mobile, cloud, security, IT, and big data spaces, including software and consulting services. As Cisco delivers the network that powers the Internet and carry more than 80% of the data, we are connecting the unconnected. Imagine creating unprecedented disruption. Your revolutionary ideas will influence everything from retail, healthcare, and entertainment, to public and private sectors, and far beyond. Collaborate with like-minded innovators in a fun and flexible culture that has earned Cisco global recognition as a Great Place to Work. With roughly 10 billion connected things in the world now and over 50 billion estimated in the future, your career has exponential possibilities at Cisco. We strive to make a difference in human endeavor for excellence through technology. We change the world in how they work, live and play and we believe each of us have an innate positive power in us which can be harnessed given right environment. Whatever you do here at Cisco impacts hundreds of thousands of customers and their lives. Consider some of the key traits we are proud of We have a vibrant engineering community of talented likeminded people who are passionate about solving engineering problems. A large campus at the heart of the city and flexible workspace helps you unleash your creative capabilities. You own the way you work, play, learn giving you a healthy and meaningful work life balance. Innovation that matter are part of Cisco life, if you are the kind who like to challenge and disrupt the status quo, you belong with us. You have an idea, which you want to bring to life; nobody better incubates your ideas then us. Built upon by like-minded people exercising the elasticity of your idea you will realize the real worth of your idea here at Cisco. Collaboration is key part of Ciscos DNA so that we consistently provide meaningful and timely value to our customers. If you are passionate about the solving customer problems, willing to contribute to your fullest potential then you can be part of Ciscos collaborative journey. At Cisco, you have opportunities in abundance to learn; you will be coached at all levels and mentored by Ciscos best minds. You bring your passion and commitment and we will ensure you are groomed in every way for achieving successful and satisfying work life. Cisco has a clear purpose for the organization and society we are part of, we involve in social causes we believe in to make a difference to the people around us. If you are a person who feels strong about the environment, society and have a cause, which matters to you, come join us and get the might of Cisco behind you to make that difference to the world. If you are ready to be part of Cisco: You will play a crucial role in driving next-gen software innovations including cloud, mobile, desktop or security spaces. You will build applications that make technology accessible to people on a variety of devices. Imagine, design, and create solutions to transform how we work, live, learn and play. We want you to be: Software Engineer  Application Software § Solid understanding of computer science fundamentals and software engineering with an aptitude for learning new technologies § Fundamentals of TCP/IP networking fundamentals, concepts of routing, switching § Strong knowledge of programming and scripting languages like python. § Solid fundamentals of object oriented design and programming § Ability to think towards scaling applications to the cloud § Strong testing inclination to ensure programs are comprehensive and well tested for all use cases § Hands on exposure to open source, mobile application development will be a big plus § Exposure to debugging application programs along with development and debugging tools § Familiar with more than one development environment, well-versed with at least one § Interest in User experience and User interface design and development § Possess creative problem solving skills and excellent troubleshooting/debugging skills § Experience in establishing and sustaining excellent relationships with the extended team § Good Analytical skills § Excellent verbal and written skills Software Engineer  Networking Protocols § Solid understanding of computer science fundamentals and software engineering with an aptitude for learning new technologies § Fundamentals of TCP/IP networking fundamentals, concepts of routing, switching. § Basics of routers, switches, network debugging tools, techniques, hands on will be a big plus § Fundamentals of security technologies like Firewall, IPS/IDS, VPN, Inspections, IPsec, TLS etc., § Conceptual understanding of data security, threat vectors, mechanisms, actors and landscape will be a big plus § Strong knowledge of programming and scripting languages like python § Strong programming skills inclined towards optimization and performance § Familiar with more than one development environment, well-versed with at least one § Strong testing inclination to ensure programs are comprehensive and well tested for all use cases. § Possess creative problem solving skills and excellent troubleshooting/debugging skills § Experience in establishing and sustaining excellent relationships with the extended team § Good Analytical skills § Excellent verbal and written skills Software Engineer  Embedded and Systems Development § Solid understanding of computer science fundamentals and software engineering with an aptitude for learning new technologies § Strong knowledge of programming and scripting languages like python § Exposure to kernel programming, user space, system space § Very strong fundamentals of operating systems § Exposure to device drivers, BSPs will be a plus § Fundamentals of system level debugging techniques and exposure to tools used § Strong programming skills with emphasis on system programming § Possess creative problem solving skills and excellent troubleshooting/debugging skills § Experience in establishing and sustaining excellent relationships with the extended team § Excellent verbal and written skills § Good Analytical skills
Shortlisting through

Online/Offline test (Max 30 mins)","
Self
",India,Cisco Systems,560103,www.cisco.com,"
IT/Software
","Cisco Systems (India) Private ltd. SEZ, Cessna Business Park, Sarjapur  Marathalli Outer Ring Road, Bangalore  560103, India",>5000,,"Resume,Online/Offline test (Max 30 mins)",AT_CS_EE_EC_TE_MA,6.5,CGPA 6.5 and above,Software Engineer,6.5,3,"3760033 INR  [Details	BE
Gross Base Salary	16,00,000
Provident Fund	96,000
Gratuity	38,400
Performance Bonus	1,12,000
Total	18,46,400
Sing-on Bonus(Paid out in two equal installments after the completion of 1 year and 2 years in Cisco)	3,00,000
RSU (Vesting over 4 years)	14,80,300
Relocation Bonus(Applicable for employees relocating from a different city)	1,33,333
Total CTC	37,60,033

Details	Masters
Gross Base Salary	17,00,000
Provident Fund	1,02,000
Gratuity	40,800
Performance Bonus	1,36,000
Total	19,78,800
Sing-on Bonus(Paid out in two equal installments after the completion of 1 year and 2 years in Cisco)	3,00,000
RSU (Vesting over 4 years)	14,80,300
Relocation Bonus(Applicable for employees relocating from a different city)	1,41,666
Total CTC	39,00,766

PF & Gratuity are retiral benefits which are paid as per Government guidelines
**    Paid Annually and will vary by company & Individual performance
***  One-time sign-on bonus is payable in two (2) equal installments, payable at the end of 1st year(13th month) and 2nd  
       year(25th month) from your employment start date.
**** RSU grants will still vest over 4 years with the first vest (25% of the grant) coming a year after approval. The remaining grant value will vest
       quarterly (about 6.25% of the total grant each quarter) over the remaining 3 years. RSU Conversion Price at USD 53.79, I USD = 68.8 INR.
***** Applicable for Employees relocating from a different City]",No
"
MNC
",Bangalore,"Job Description

ASIC Job Description  In this role, you will participate in the design and verification of leading-edge multimillion gate, 16nm (or smaller geometry) ASICs. Our team develops custom switching / routing ASICs for use in Ciscos flag bearer products like the Catalyst 3750, Catalyst 92xx, Catalyst 93xx, Catalyst 94xx switching platforms, Nexus 9K, MDS9K Datacenter Switching platforms, ASR9K Routing platforms as well as ASICs critical to strategic product areas being aggressively pursued by Cisco. These silicon chips are used to build high density 10Gbps/40Gbps/100Gbps or higher speed multi-protocol switches / routers. The ASICs have the network and fabric interfaces and have a rich feature set that includes multiple high bandwidth ports, low-latency, on chip-buffers, queuing, scheduling, congestion management. The ASICs support multiple standard and emerging protocols. Responsibilities: You will participate in the design and verification process starting with high-level conceptual and architectural discussions and ending with micro architecture and design partition within the ASIC. You will find that design courses such as digital logic, computer architecture and organization, and network/communication architecture will be very helpful throughout this stage. Datapath pipelines, state-machines, and computer arithmetic elements are key components within the ASIC. Skills: Hardware design, the test/verification environment is designed using an object-oriented framework designed in C++ so you will use knowledge from your programming courses that include advance data structures, algorithms, and design patterns as well as languages such as Verilog HDL, C, and C++. You will aid in the architecture of the test environments which include developing constrained random stimulus generators, automated response checkers, and advanced configuration and programming API components using UVM. Some of these components are reused across the entire phase of the project from module, chip and system level verification on Linux based verilog simulators. Problem solving skills and out-of-the-box thinking to create area and power efficient hardware designs as well as reusable C++ classes for the verification and simulation environments. Physical Implementation of blocks, clock trees, Static Timing Analysis, DFT, Logic Equivalence Checks are part of the Physical Design specialist profile. Writing thorough and detailed specifications and test plans as well as oral descriptions will enable your ideas and concepts to be reviewed and accepted by other team members. BSEE is required/MSEE is preferred. Team-player, can-do attitude will work well in a group environment while still being able to contribute on an individual basis and you will find that you'll have lots of fun and thrive in this environment if you enjoy being challenged,
Shortlisting through

Online/Offline test (Max 30 mins)
Allowed Departments and degrees

ELECTRICAL ENGINEERING
DUAL DEGREE --- ELECT.ENGG. INSTRUMENTATION AND SIGNAL PROCESSING ENGG.(M.TECH DUAL 5Y)
DUAL DEGREE --- INSTRUMENTATION AND SIGNAL PROCESSING ENGINEERING(M.TECH DUAL 5Y)
M.TECH --- INSTRUMENTATION AND SIGNAL PROCESSING
ELECTRONICS AND ELECTRICAL COMMUNICATION ENGG.
DUAL DEGREE --- ELECT.&ELEC.COM.ENGG.MICROELECTRONICS & VLSI DES.(M.TECH DUAL5Y)
DUAL DEGREE --- ELECT.&ELEC.COM.ENGG.TELECOMM SYSTEM ENGG.(M.TECH DUAL5Y)
MS 
M.TECH --- MICROELECTRONICS & V L S I DESIGN
M.TECH --- TELECOMMUNICATION SYSTEMS ENGINEERING
G.S SANYAL SCHOOL OF TELECOMMUNICATION
MS 
M.TECH --- WIRELESS COMMUNICATIONS AND NETWORKS","
Self
",India,Cisco Systems,560103,www.cisco.com,"
IT/Software
","Cisco Systems (India) Private ltd. SEZ, Cessna Business Park, Sarjapur  Marathalli Outer Ring Road, Bangalore  560103, India",>5000,,"Resume,CDC Pre-Assess Scores,Online/Offline test (Max 30 mins)",AT_ET_CS_EE_EC_ES_TE_IM_MA_RE,6.5,CGPA 6.5 and above,Hardware Engineer,,3,"3760033 INR  [Details	BE
Gross Base Salary	16,00,000
Provident Fund	96,000
Gratuity	38,400
Performance Bonus	1,12,000
Total	18,46,400
Sing-on Bonus(Paid out in two equal installments after the completion of 1 year and 2 years in Cisco)	3,00,000
RSU (Vesting over 4 years)	14,80,300
Relocation Bonus(Applicable for employees relocating from a different city)	1,33,333
Total CTC	37,60,033]",NO
"
MNC
",Bangalore,"Roles and Responsibilities: ● Own development, design, scaling and maintenance of application and messaging engines that power the central platform of Capillary's Cloud CRM product. ● Contribute to overall design and roadmap. Required Skills: ● Innovative and self-motivated with passion to develop complex and scalable applications. ● Strong focus on algorithms and data structures. ● Strong coding and design skills with prior experience in developing scalable & high availability applications using Core Java/J2EE, Spring, Hibernate. ● Work experience with Relational databases is required (Primarily MySQL) ● Prior work experience with Non-Relational databases (primarily Redis, MongoDb) is an added plus. ● Strong Analytical and Problem Solving Skills.","
Self
",India,Capillary Technologies,560068,www.capillarytech.com,"
IT/Software
","Capillary Technologies 31/9, Krimson Square, 1st Floor Roopena Agrahara, Hosur Main Road ",Between 500 to 1000,,"Resume,Online/Offline test (Max 30 mins)",AT_AE_AG_AR_BT_CH_CY_CE_CS_EE_EC_ES_EV_GG_TE_HS_IM_MS_MA_ME_MT_MI_NS_NA_PH_EP_IP_ID_RT_WM_RE,,,Software Development Engineer,0.0,4,"1612782 INR  [Btech: 16,12,782 [1225829 (Fixed) + +86,953 (Benefits and others) + 100000
(Joining Bonus) + 20000 (Relocation Bonus) +
150000(Retention Bonus) + 1 Week Accommodation ]
MTech(Dual): 18,79,719
[13,42,469 (Fixed) +
87250 (Benefits and others) + 100000 (Joining Bonus) +
20000 (Relocation Bonus) + 150000(Retention Bonus) + 1
Week Accommodation]]]",NO
"
MNC
",Bangalore,Job Description for Signal Processing Engineer's - Trajectory for Autonomous Vehicles. - Behavior Generation for Autonomous Vehicles - Experience or knowledge of prediction models techniques and algorithms. - Probabilistic estimation techniques,"
Contacted by CDC
",India,Mercedes-Benz Research and Development India,560066,https://mbrdi.co.in,"
Core Engineering,IT/Software,Automobile
","Plot No 5P, Road number 16, KIADB Export Promotion Industrial Area, Whitefield, Bangalore, Karnataka 560066",>5000,,"Resume,Online/Offline test (Max 30 mins)",AT_CS_EE_EC_TE_MA_RE,,"60% Throughout academics (10th, 12th & Engineering)",Post Graduate Engineer Trainee - Signal Processing & Mathematics and Computing,0.0,3,"900011 INR  [Total CTC 9,00,011 (Basic 319368 | HRA 127752 | Other Allowance 351288 | PF 38,325 )]",NO
"
MNC
",Bangalore,Mandatory Skills  Exposure to Matlab/Simulink Environment  Programming Skills in C or equivalent  Ability to understand automotive systems  Strong analytical skills  Strong inclination to acquire domain knowledge on the job  Quick grasping capability Job Skills  Requirement understanding and elaboration  Programming for various applications in powertrain/body/chassis/driver assistance/telematics areas  Development of model based algorithms  Test Case development for coverage and functional testing of automotive applications  Test execution on MiL/SiL/HiL environment  Presenting the results in a coherent manner Job Skills  Requirement understanding and elaboration  Programming for various applications in powertrain/body/chassis/driver assistance/telematics areas  Development of model based algorithms  Test Case development for coverage and functional testing of automotive applications  Test execution on MiL/SiL/HiL environment  Presenting the results in a coherent manner,"
Contacted by CDC
",India,Mercedes-Benz Research and Development India,560066,https://mbrdi.co.in,"
Core Engineering,IT/Software,Automobile
","Plot No 5P, Road number 16, KIADB Export Promotion Industrial Area, Whitefield, Bangalore, Karnataka 560066",>5000,,"Resume,Online/Offline test (Max 30 mins)",AT_CS_EE_EC_TE_IM_MA_ME_RE,,"60% Throughout academics (10th, 12th & Engineering)",Post Graduate Engineer Trainee - Control System,0.0,3,"900011 INR  [Total CTC 9,00,011 (Basic 319368 | HRA 127752 | Other Allowance 351288 | PF 38,325 )]",NO
