category,city,about,reference,country,company,zipcode,website,sector,address,employees,turnover,selection,dep_str,cgpa_criteria,criteria,profile,cgpa_cutoff,day,package,contract
"
MNC
",Gurgaon,See attached JD,"
Self
",India,dunnhumby India Pvt. Ltd.,122003,www.dunnhumby.com,"
Analytics
","Sector 54, Gurgaon",Between 500 to 1000,,Online/Offline test (Max 30 mins),AT_AE_AG_AR_BS_BT_CL_CH_CY_CE_CS_EE_EC_ES_GG_TE_HS_IM_MS_MA_ME_MT_MI_NA_PH_ID_RT_WM_RE,,,Junior Engineer,0.0,8,1125000 INR  [850000 Fixed + 1 L of Joining Bonus +1 L of Retention Bonus + 6.5% of CTC as performance based bonus.],No
"
MNC
",Gurgaon,See attached JD,"
Self
",India,dunnhumby India Pvt. Ltd.,122003,www.dunnhumby.com,"
Analytics
","Sector 54, Gurgaon",Between 500 to 1000,,"Resume,Online/Offline test (Max 30 mins)",AT_AE_AG_AR_BS_BT_CL_CH_CY_CE_CS_EE_EC_ES_GG_TE_HS_IM_MS_MA_ME_MT_MI_NA_PH_ID_RT_WM_RE,,,Associate Data Science Engineer,0.0,8,1125000 INR  [850000 Fixed + 1 L of Joining Bonus +1 L of Retention Bonus + 6.5% of CTC as performance based bonus.],no
"
MNC
",Bangalore,"PURPOSE AND OBJECTIVES
SAP IBSO is a global organization that helps customers seize new market opportunities and dynamically respond to new business challenges by developing unique, individualized, customer-specific solutions on the SAP platform. Whether our customers need to extend and enhance an existing SAP solution or build an entirely new and innovative application, SAP IBSO is able to deliver high-quality custom solutions tailored to our customers business needs.
SAP thrives towards accelerating our customers digital transformation via our digital innovation platform called SAP Leonardo. SAP Leonardo encompasses all domains of todays data driven technologies in Machine Learning, Big Data, Analytics, Data Intelligence, Blockchain, IoT. While focusing on needs and demands from our customers, we help realize SAPs strategic goal of leading in next-generation technologies by providing intelligent and scalable solutions. Youll be working in a unique position, collaborating closely with both customers and SAP standard teams. In close interaction with customers, youll apply the full range of state-of-the-art tools

EXPECTATIONS AND TASKS
Work directly with industry experts and technology experts to translate our customers business needs into software solutions 
	As a software developer in SAP IBSO, you'll have the opportunity to work on the entire lifecycle of customer projects 
	Starting with the discovery phase, you'll identify value potential for customers using engineering methods 
	You'll work in sprints, based on an initial backlog and release plan, and deliver custom developed software 
	Youll will support an excellent user experience 
	Youll will work closely with internal colleagues, and customer teams to drive endto-end processes
	During the project lifecycle, you'll have the opportunity to work partially on site with customers 
	Driving adoption of newer cutting-edge technology within the organization through knowledge sessions, adoption of the same in the solution, etc 
	Work closely with other IBSO team members, SAP development teams, external partners and customer teams to ensure successful project delivery 
	Enhance existing skills continually and seek newer areas for personal development

SKILLS AND COMPETENCIES
	Strong analytical and problem solving skills
	Excellent verbal, written and presentation communication skills 
	Experience in C / C++ / Java / Python 
	Experience on cloud platforms and applications will be an added advantage ","
Contacted by CDC
",India,SAP,560066,www.sap.com,"
IT/Software
","#138, SAP Labs Rd, EPIP Zone,",>5000,,"Resume,Online/Offline test (Max 30 mins)",AT_AE_AG_AR_BS_BT_CL_CH_CY_CE_CS_EE_EC_ES_GG_TE_HS_IM_MS_MA_ME_MT_MI_NS_NA_PH_ID_RT_MM_WM_RE,,Minimum of 60% in 10 & 12,Associate Developer_IBSO,0.0,2,"3740800 INR  [B.Tech(Bachelor) - INR 37,40,800 [Compensation Details: Total Target Cash :1,700,000 ; Joining Bonus*:600,000 ; RSUs**: 680,000 ; Total Benefits*** : 760,800; Total Compensation : 37,40,800]

M.Tech (Masters/Dual Degree) - INR 33,10,800 [Compensation Details: Total Target Cash :1,500,000 ; Joining Bonus*:600,000 ; RSUs**: 450,000 ; Total Benefits*** : 760,800; Total Compensation : 33,10,800]

*Joining Bonus is paid in 6 equal instalment for 3 years

** the RSUs will vest one-third on each anniversary of the grant date for three years.

***Benefits are subject to company policy  refer below the components of the benefits.]",NO
"
MNC
",Bangalore,"Software Development Engineer (Cloud HCM Engineering)

PURPOSE AND OBJECTIVES
Our LOB Cloud HCM Engineering (www.successfactors.com) provides the leading cloud-based SuccessFactors HCM Suite, which comprises solutions that are complete, beautiful, and flexible, and which can help enterprises optimize workforce today and prepare it for tomorrow. Our solutions are innovative, but we also deliver process expertise and best practices insights from serving our broad and diverse customer base.   SAP SuccessFactors BizX Suite is a global leader of Cloud based (SaaS) HR/HCM Solution that caters to 27 million users spread over 189 countries, Localization support for 79 countries and in 42 languages. Consistently recognized in leadership quadrant by Gartner, Forrester and other industry analysts year on year. It is a multi-layered Java/JEE application that offers both web and mobile solution (iOS & Android). We pride ourselves in delivering the most powerful software-as-a-service (SaaS) solutions on the market. 
 
The possibilities for growth, innovation, and impact are endless! SAP Cloud HCM Engineering Division is known for its innovation, extraordinary leadership, and high-energy culture. We hire high-performing people that want to make a difference. We expect all of our talent to be leaders  no matter what your role. We challenge ourselves and each other to swing big and take risks every day. We move fast, but we care about how we work with each other

EXPECTATIONS AND TASKS
As a developer in the core Product Development  team, you will be responsible for 
 - Design, development of SaaS based software in collaboration with the Product Managers and the team.  
- Working on problems of relatively complex scope, through usage of standard programming concepts and principles and application of own judgment
 - Working as a fully contributing team member with independent planning & execution responsibilities.  - You have a passion for problem solving and are always pushing for better, faster, simpler solutions to complex business processes and technical challenges. You have the ability of turning vision into reality and striving for excellence in all that you do. You are selfmotivated, flexible, action oriented and driven to succeed. 
- If this describes you, then we want to hear from you as soon as possible!
EDUCATION AND QUALIFICATIONS/ SKILLS AND COMPETENCIES
B.E/B.Tech/M.Tech/MS from premier institutes (Class of 2020) 
- Strong grasp of CS fundamentals and excellent problem-solving abilities. 
- Analytical Problem Solving, Quick Thinker, Passionate Programmer, Great Aptitude 
- Proficiency in Data Structures, Algorithms, RDBMS, OOPs 
- Ability to quickly acquire proficient development skills in new areas and technologies 
- Team player who is desperately looking for new challenges","
Contacted by CDC
",India,SAP,560066,www.sap.com,"
IT/Software
","#138, SAP Labs Rd, EPIP Zone,",>5000,,"Resume,Online/Offline test (Max 30 mins)",AT_AE_AG_AR_BS_BT_CL_CH_CY_CE_CS_EE_EC_ES_GG_TE_HS_IM_MS_MA_ME_MT_MI_NS_NA_PH_ID_RT_MM_WM_RE,,Minimum of 60% in 10 & 12,Associate Developer_ SF- Cloud HCM Engineering,0.0,,"3740800 INR  [3740800 INR [B.Tech(Bachelor) - INR 37,40,800 [Compensation Details: Total Target Cash :1,700,000 ; Joining Bonus*:600,000 ; RSUs**: 680,000 ; Total Benefits*** : 760,800; Total Compensation : 37,40,800] M.Tech (Masters/Dual Degree) - INR 33,10,800 [Compensation Details: Total Target Cash :1,500,000 ; Joining Bonus*:600,000 ; RSUs**: 450,000 ; Total Benefits*** : 760,800; Total Compensation : 33,10,800] *Joining Bonus is paid in 6 equal instalment for 3 years ** the RSUs will vest one-third on each anniversary of the grant date for three years. ***Benefits are subject to company policy  refer below the components of the benefits.]]",NO
"
MNC
",Bangalore,"SAP is the world leader in enterprise applications software (ERP), predictive analytics and artificial Intelligence for cloud-based marketing. SAP is the worlds third largest independent software manufacturer based on market capitalization. 77% of the worlds transaction revenue touches an SAP system. SAP customers include - 92% of the Forbes Global 2000 companies, 98% of the 100 most valued brands and 100% of the Dow Jones top scoring sustainability companies.
SAP Labs India is ranked #1 in India's Best Companies to Work For 2019 and 2018
Is your vision to help the world run better and improve peoples lives? Do you dream of making impact in technology world, help every customer become a best-run business, help them wave through digital revolution and thrive in API Economy? If yes, we are in the right place!
API is digital building block for enterprises. SAP Cloud Platform API Management enables to secure, analyze and scale APIs in a multi-cloud environment. It provides required visibility & control to consume and monetize API with real-time analytics and reporting.
We are looking for enthusiastic developers and innovators who are passionate about technology, fascinated by its unlimited possibilities and can join us in our journey to help every customer to become a best-run business.
Technologies we work on
 Programming Languages:  Java, Java Script, Node JS, Angular, React, Golang  Cloud Infrastructure:  Kubernetes, Cloud Foundry, AWS, Azure, Alicloud and Google Cloud Platform  Machine Learning: Python, TensorFlow/PyTorch and Sci-kit  Analytics and Bigdata: SAP HANA, Elasticsearch/ELK, Grafana  Database: Postgres, Sybase, Cassandra and SAP HANA  DevOps Technology: Terraform, Ansible, Dynatrace
Expectations from you
 University Degree (B.E/B.Tech, M.Tech, M.E) in Computer Science or related engineering subject.  Analyze, design and develop the cloud services SAP API Management and SAP API Business Hub.  Learn new technologies and work efficiently in scrum/agile development team.  Collaborate effectively with a team of enthusiastic developers and stakeholders to deliver the cloud solutions for enabling digital transformation.  Demonstrate curiosity and innovation to enabling future solutions in this space  Contribution to open source community, publishing technical papers and filling patents will be an advantage","
Contacted by CDC
",India,SAP,560066,www.sap.com,"
IT/Software
","#138, SAP Labs Rd, EPIP Zone,",>5000,,"Resume,Online/Offline test (Max 30 mins)",AT_AE_AG_AR_BS_BT_CL_CH_CY_CE_CS_EE_EC_ES_GG_TE_HS_IM_MS_MA_ME_MT_MI_NS_NA_PH_ID_RT_MM_WM_RE,,Minimum of 60% in 10 & 12,Associate Developer_ SAP Cloud Platform  {api},0.0,,"3740800 INR  [3740800 INR [B.Tech(Bachelor) - INR 37,40,800 [Compensation Details: Total Target Cash :1,700,000 ; Joining Bonus*:600,000 ; RSUs**: 680,000 ; Total Benefits*** : 760,800; Total Compensation : 37,40,800] M.Tech (Masters/Dual Degree) - INR 33,10,800 [Compensation Details: Total Target Cash :1,500,000 ; Joining Bonus*:600,000 ; RSUs**: 450,000 ; Total Benefits*** : 760,800; Total Compensation : 33,10,800] *Joining Bonus is paid in 6 equal instalment for 3 years ** the RSUs will vest one-third on each anniversary of the grant date for three years. ***Benefits are subject to company policy  refer below the components of the benefits.]]",NO
"
MNC
",Tokyo,"[Job Description]
We are developing the system software of PlayStation. Our team is especially in charge of developing libraries of
audio and video codec.
While communicating with game and application developers, we design, develop and evaluate SDK for our game
console. We also work closely with development teams of system software features which utilize audio and video
codecs. The other important aspect of our team is to design and develop libraries which take full advantage of
state-of-the-art dedicated hardware.
You will join the development team of video codec library.
Your Responsibilities:
- Design and develop robust and flexible software which is durable for every periodic update during the long
product life cycle
- Evaluate and test software solutions we have developed
- Prepare SDK documents and samples with SDK release team
- Support game and application developers by answering questions and requests with developer relations team
- Analyze requirements of system software features and provide appropriate functionality for the purpose
[Product, Service]
PlayStation
[Development Environment]
Windows / VisualStudio with original development tools
[Required Engineering Skills]
- Proficiency in C/C++ is a must
- Knowledge and experience of object oriented design and programming is highly preferred
- Knowledge of digital signal processing is highly preferred
- Knowledge of design and programming of device drivers for Linux or FreeBSD is preferred
- Basic knowledge of video codecs like H.264 and H.265 is preferred
- Experience in GPU programing is preferred
[Other requirements]
- The ability to deliver on tight deadlines and adapt to evolving or changing requirements
- Excellent verbal and written communication skills in English, and willingness in learning Japanese","
Self
",Japan,Sony Japan,108-0075,https://www.sony.net/,"
IT/Software
",1-7-1 Konan Minato-ku,,,"Resume,Online/Offline test (Max 30 mins)",AT_AE_AG_AR_BS_BT_ET_CH_CY_CE_CS_EE_EC_ES_EV_GG_TE_IM_MS_MA_ME_MT_MI_NS_NA_PH_ID_RT_MM_WM_RE,,"In addition to CV, you will have to submit an essay. The
format will be provided for you separately.
Up to three positions are available to apply for.
If you are applying to multiple positions, please list JAF numbers in order of priority in the essay. 
*If you wish to apply to only 1 or 2 positions, please list only those ones.
(If this essay was not submitted in a completed form by the deadline, you will not be eligible for the selection.)","System Software Engineer (PlayStation, Video codec library)",0.0,1,"9233840 JPY  [[Total amount of CTC]
Bachelor : JPY 9,233,840
Master : JPY 9,763,540
Ph.D. : JPY 10,281,360

[Breakdown of CTC]
1. Gross
(1)Base Salary
Bachelor : JPY 3,525,000
Master : JPY 3,900,000
PhD : JPY 4,275,000
(2)Bonus
Bachelor : JPY 1,175,000
Master : JPY 1,300,000
PhD : JPY 1,425,000
(3)Dormitory Support
JPY 900,000
*2/3 of the dormitory fee will be paid by company
*This applies to all the programs (Bachelor, Master, and Ph.D.).
(4)Commuting Expense
JPY 80,000
*From company dormitory to the office
*This applies to all the programs (Bachelor, Master, and Ph.D.).

2. Other Allowances/Cost
(1)Arrival Allowance * One-time payment
JPY 240,000
(2)Moving Expense * One-time payment
JPY 400,000
(3)Japanese Language Training
JPY 1,900,000
*Japanese language training will be provided.
(3)Overtime payment
JPY 800,000 - Assume 25h/month
*Overtime payment applies to all the programs (Bachelor, Master, and Ph.D.)
*This may vary depending on your overtime hours.
(4)Health Insurance
Bachelor: JPY 213,840
Master: JPY 243,540
Ph.D.: JPY 261,360
*This may vary depending on your Base Salary.]",No
"
MNC
",Tokyo,"[Job Description]
The team develops audio system software and SDK for home entertainment system. It includes device drivers, signal processing modules and interface to peripherals. Also libraries and tools for application developers. As well as periodical updates of the system software, we release SDK to our customers, video game application developers. The main responsibilities of the position is design and develop software modules and integrate them into the system. The design and implementation needs careful consideration of stakeholders' needs, technical limitations and schedule. Most of the modules are required to be highly optimized for efficient use of system resources. It's required to work closely with other engineering members and audio expert teams at globally different locations, and also interacting with product planning, hardware engineers, developer support and game developers.

[Product, Service]
Home video game entertainment system, Audio peripherals

[Development Environment]
Windows, linux, C++, Visual Studio

[Required Engineering Skills]
High level of programming skill (C/C++) - such as experience of thousands of lines of code.
Understanding of computer architecture and operating system architecture.
Knowledge of digital signal processing.
Nice to have the ability of multi-thread programming and real-time systems.","
Self
",Japan,Sony Japan,108-0075,https://www.sony.net/,"
IT/Software
",1-7-1 Konan Minato-ku,,,"Resume,Online/Offline test (Max 30 mins)",AT_AE_AG_AR_BS_BT_ET_CH_CY_CE_CS_EE_EC_ES_EV_GG_TE_IM_MS_MA_ME_MT_MI_NS_NA_PH_ID_RT_MM_WM_RE,,"In addition to CV, you will have to submit an essay. The
format will be provided for you separately.
Up to three positions are available to apply for.
If you are applying to multiple positions, please list JAF numbers in order of priority in the essay. 
*If you wish to apply to only 1 or 2 positions, please list only those ones.
(If this essay was not submitted in a completed form by the deadline, you will not be eligible for the selection.)","System Software Engineer (PlayStation, Home entertainment system)",0.0,,"9233840 JPY  [[Total amount of CTC]
Bachelor : JPY 9,233,840
Master : JPY 9,763,540
Ph.D. : JPY 10,281,360

[Breakdown of CTC]
1. Gross
(1)Base Salary
Bachelor : JPY 3,525,000
Master : JPY 3,900,000
PhD : JPY 4,275,000
(2)Bonus
Bachelor : JPY 1,175,000
Master : JPY 1,300,000
PhD : JPY 1,425,000
(3)Dormitory Support
JPY 900,000
*2/3 of the dormitory fee will be paid by company
*This applies to all the programs (Bachelor, Master, and Ph.D.).
(4)Commuting Expense
JPY 80,000
*From company dormitory to the office
*This applies to all the programs (Bachelor, Master, and Ph.D.).

2. Other Allowances/Cost
(1)Arrival Allowance * One-time payment
JPY 240,000
(2)Moving Expense * One-time payment
JPY 400,000
(3)Japanese Language Training
JPY 1,900,000
*Japanese language training will be provided.
(3)Overtime payment
JPY 800,000 - Assume 25h/month
*Overtime payment applies to all the programs (Bachelor, Master, and Ph.D.)
*This may vary depending on your overtime hours.
(4)Health Insurance
Bachelor: JPY 213,840
Master: JPY 243,540
Ph.D.: JPY 261,360
*This may vary depending on your Base Salary.]",No
"
MNC
",Tokyo,"[Job Description]
As a Graphics Software Engineer, you will be working on core graphics technologies for the platform.
(Ex: Graphics related Kernel/User Mode Driver, Graphics SDK Library, Performance and Debugging Tools.)
Design and program low level graphics components to be used by development teams around the world
Create clean, efficient, and well tested code
Support 1st and 3rd party development teams across the world
Collaborate with our sister technology groups on global projects
Write high quality user documentation
Additional responsibilities may be assigned as needed

[Product, Service]
Game Console

[Development Environment]
Windows10,FreeBSD,Linux

[Required Engineering Skills]
Excellent 3D math skills (linear algebra, vector math)
Strong knowledge of Graphics.
Strong knowledge of Computer architecture background (Parallel computing)
Strong knowledge of C and C++ programming languages
Strong knowledge of industry standard graphics APIs (DirectX, OpenGL, libGCM, Gnm Library)
Strong knowledge of assembly level programming languages
Desire to understand hardware at a low level
Knowledge of shader programming languages (PSSL/HLSL/GLSL/Cg) *Preferred*
Experience with GPGPU or Compute Shaders *Preferred*

[Other Requirements]
Self-motivated individual with excellent problem solving skills
Good oral and written communication skills","
Self
",Japan,Sony Japan,108-0075,https://www.sony.net/,"
IT/Software
",1-7-1 Konan Minato-ku,,,"Resume,Online/Offline test (Max 30 mins)",AT_AE_AG_AR_BS_BT_ET_CH_CY_CE_CS_EE_EC_ES_EV_GG_TE_IM_MS_MA_ME_MT_MI_NS_NA_PH_ID_RT_MM_WM_RE,,"In addition to CV, you will have to submit an essay. The
format will be provided for you separately.
Up to three positions are available to apply for.
If you are applying to multiple positions, please list JAF numbers in order of priority in the essay. 
*If you wish to apply to only 1 or 2 positions, please list only those ones.
(If this essay was not submitted in a completed form by the deadline, you will not be eligible for the selection.)",Graphics Software Engineer (PlayStation),0.0,,"9233840 JPY  [[Total amount of CTC]
Bachelor : JPY 9,233,840
Master : JPY 9,763,540
Ph.D. : JPY 10,281,360

[Breakdown of CTC]
1. Gross
(1)Base Salary
Bachelor : JPY 3,525,000
Master : JPY 3,900,000
PhD : JPY 4,275,000
(2)Bonus
Bachelor : JPY 1,175,000
Master : JPY 1,300,000
PhD : JPY 1,425,000
(3)Dormitory Support
JPY 900,000
*2/3 of the dormitory fee will be paid by company
*This applies to all the programs (Bachelor, Master, and Ph.D.).
(4)Commuting Expense
JPY 80,000
*From company dormitory to the office
*This applies to all the programs (Bachelor, Master, and Ph.D.).

2. Other Allowances/Cost
(1)Arrival Allowance * One-time payment
JPY 240,000
(2)Moving Expense * One-time payment
JPY 400,000
(3)Japanese Language Training
JPY 1,900,000
*Japanese language training will be provided.
(3)Overtime payment
JPY 800,000 - Assume 25h/month
*Overtime payment applies to all the programs (Bachelor, Master, and Ph.D.)
*This may vary depending on your overtime hours.
(4)Health Insurance
Bachelor: JPY 213,840
Master: JPY 243,540
Ph.D.: JPY 261,360
*This may vary depending on your Base Salary.]",No
"
MNC
",Tokyo,"[Job Description]
We are looking for a passionate Software Engineer to design, develop software components for Realtime Communication Service running on various clients including Game Console (PS4) and Mobile (iOS, Android) of PlayStation Network. Software Engineer responsibilities include gathering the latest technology trends, defining system functionality orchestrated with server system and writing code in C, C++. Our ideal candidates are familiar with agile software development with CI/CD from preliminary system analysis to tests and deployment. Ultimately, the role of the Software Engineer is to build high-quality, innovative and fully performing software that contributes the first-class experience for tens of millions of players in PlayStation Network.

[Responsibilities]
- Execute full software development life cycle
- Develop flowcharts, layouts and documentation to identify requirements and solutions
- Write well-designed, testable code
- Produce specifications and determine operational feasibility
- Integrate software components into a fully functional software system
- Develop software verification plans and quality assurance procedures
- Document and maintain software functionality
- Troubleshoot, debug and upgrade existing systems

[Product, Service]
PlayStation

[Development Environment]
Windows/OSX

[Required Engineering Skills]
- Familiar with network protocols, security and cryptographic algorithms especially for Chromium and/or WebRTC
- Experience designing and coding network applications with streaming medias (voice, video, etc)
- Ability to develop large, cross-platform software in C, C++
- Proficiency in software engineering tools (build system, toolchains) especially for GN/Ninja

[Other requirements]
- Passion for self-improvement, a healthy appetite for learning, and willingness to mentor","
Self
",Japan,Sony Japan,108-0075,https://www.sony.net/,"
IT/Software
",1-7-1 Konan Minato-ku,,,"Resume,Online/Offline test (Max 30 mins)",AT_AE_AG_AR_BS_BT_ET_CH_CY_CE_CS_EE_EC_ES_EV_GG_TE_IM_MS_MA_ME_MT_MI_NS_NA_PH_ID_RT_MM_WM_RE,,"In addition to CV, you will have to submit an essay. The
format will be provided for you separately.
Up to three positions are available to apply for.
If you are applying to multiple positions, please list JAF numbers in order of priority in the essay. 
*If you wish to apply to only 1 or 2 positions, please list only those ones.
(If this essay was not submitted in a completed form by the deadline, you will not be eligible for the selection.)","Software Engineer (PlayStation, Realtime Communication Service)",0.0,,"9233840 JPY  [[Total amount of CTC]
Bachelor : JPY 9,233,840
Master : JPY 9,763,540
Ph.D. : JPY 10,281,360

[Breakdown of CTC]
1. Gross
(1)Base Salary
Bachelor : JPY 3,525,000
Master : JPY 3,900,000
PhD : JPY 4,275,000
(2)Bonus
Bachelor : JPY 1,175,000
Master : JPY 1,300,000
PhD : JPY 1,425,000
(3)Dormitory Support
JPY 900,000
*2/3 of the dormitory fee will be paid by company
*This applies to all the programs (Bachelor, Master, and Ph.D.).
(4)Commuting Expense
JPY 80,000
*From company dormitory to the office
*This applies to all the programs (Bachelor, Master, and Ph.D.).

2. Other Allowances/Cost
(1)Arrival Allowance * One-time payment
JPY 240,000
(2)Moving Expense * One-time payment
JPY 400,000
(3)Japanese Language Training
JPY 1,900,000
*Japanese language training will be provided.
(3)Overtime payment
JPY 800,000 - Assume 25h/month
*Overtime payment applies to all the programs (Bachelor, Master, and Ph.D.)
*This may vary depending on your overtime hours.
(4)Health Insurance
Bachelor: JPY 213,840
Master: JPY 243,540
Ph.D.: JPY 261,360
*This may vary depending on your Base Salary.]",No
"
MNC
",Tokyo,"[Description]
Site Reliability Engineer for PlayStation Network: PlayStation Network is the network platform service for PlayStation and provides account, commerce, social network, and online game features for game developers and tens of millions of global customers. As a Site Reliability Engineer, you will design, build and run PlayStation Network services, and ensure the services have high-reliability and availability with appropriate performance to deliver delightful user experience.
- Engage in the whole lifecycle of products from their inception and design, to deployment, operation and refinement.
- Continuously monitor, measure and improve KPIs including uptime, latency, throughput, capacity and cost.
- Leverage automation to have efficient and sustainable operations.
- Practice sustainable incident response participating in on-call rotation and preventative measures.

[Product, Service]
PlayStation, PlayStation Network, Video Game, Network Service

[Development Environment]
Linux, Cloud (AWS), Container(Docker), Github, Chef, Jenkins,etc.

[Required Engineering Skills]
- Systematic problem-solving approach, coupled with strong communication skills and a sense of ownership and drive
- Ability to debug and optimize code and automate routine tasks
- Understanding of standard networking protocols and components such as: HTTP, DNS, TCP/IP, SSL and Load Balancing.
- Understanding of traditional and distributed database technologies
- Experience in one or more of the following: C, C++, Java, Python, Perl, or Ruby
- Experience with Unix/Linux environment and Cloud, e.g. AWS

[Other requirements]
- Interest in PlayStation and online gaming
- Interest in designing, building and operating large-scale network service for global consumer market
- Interest in working at international work environment
(e.g. frequent meetings and business trips between Japan and US)","
Self
",Japan,Sony Japan,108-0075,https://www.sony.net/,"
IT/Software
",1-7-1 Konan Minato-ku,,,"Resume,Online/Offline test (Max 30 mins)",AT_AE_AG_AR_BS_BT_ET_CH_CY_CE_CS_EE_EC_ES_EV_GG_TE_IM_MS_MA_ME_MT_MI_NS_NA_PH_ID_RT_MM_WM_RE,,"In addition to CV, you will have to submit an essay. The
format will be provided for you separately.
Up to three positions are available to apply for.
If you are applying to multiple positions, please list JAF numbers in order of priority in the essay. 
*If you wish to apply to only 1 or 2 positions, please list only those ones.
(If this essay was not submitted in a completed form by the deadline, you will not be eligible for the selection.)",Site Reliability Engineer (PlayStation Network),0.0,,"9233840 JPY  [[Total amount of CTC]
Bachelor : JPY 9,233,840
Master : JPY 9,763,540
Ph.D. : JPY 10,281,360

[Breakdown of CTC]
1. Gross
(1)Base Salary
Bachelor : JPY 3,525,000
Master : JPY 3,900,000
PhD : JPY 4,275,000
(2)Bonus
Bachelor : JPY 1,175,000
Master : JPY 1,300,000
PhD : JPY 1,425,000
(3)Dormitory Support
JPY 900,000
*2/3 of the dormitory fee will be paid by company
*This applies to all the programs (Bachelor, Master, and Ph.D.).
(4)Commuting Expense
JPY 80,000
*From company dormitory to the office
*This applies to all the programs (Bachelor, Master, and Ph.D.).

2. Other Allowances/Cost
(1)Arrival Allowance * One-time payment
JPY 240,000
(2)Moving Expense * One-time payment
JPY 400,000
(3)Japanese Language Training
JPY 1,900,000
*Japanese language training will be provided.
(3)Overtime payment
JPY 800,000 - Assume 25h/month
*Overtime payment applies to all the programs (Bachelor, Master, and Ph.D.)
*This may vary depending on your overtime hours.
(4)Health Insurance
Bachelor: JPY 213,840
Master: JPY 243,540
Ph.D.: JPY 261,360
*This may vary depending on your Base Salary.]",No
