category,city,about,reference,country,company,zipcode,website,sector,address,employees,turnover,selection,dep_str,cgpa_criteria,criteria,profile,cgpa_cutoff,day,package,contract
"
StartUp
",Gurgaon,"Description 
 
If you want to use Artificial Intelligence to solve the most pressing problems in the Indian logistics industry, or optimize the distribution network of Indias largest third party logistics provider, our data team is the place to be. We are the countrys premium data science team featured widely in press and news; see Factordaily, LeMonde, Economic Times 1, Economic Times 2. 
 
The team comprises of leading experts in the field of Operations Research and Particle Physics, along with budding engineers and scientists in the field of Machine Learning and Artificial Intelligence. 
 
In the recent past, the data science team at Delhivery has built key capabilities in the following areas: 
  Maps:  
 Our business relies heavily on understanding where our end customers live and how to get there. This is a huge India specific challenge, primarily because of the unstandardized way of writing addresses and poor quality of road/pincode data in smaller towns/villages. We process a large amount of location data from our devices on the ground to learn locality boundaries, routes taken by ground staff, etc. 
  Machine Learning:  
 We use a range of machine learning techniques to automate decision making at the ground level, e.g., identifying whether a shipment is safe to fly based on its product description, identifying which shipments have a high probability of being returned, etc. 
  Discrete Optimization:  
 We rely on a range of optimization methods to ensure our distribution network is designed for cost efficiencies and scale, e.g., Vehicle Routing Problem to optimize the shipment collection process from clients, Facility Location Problem to ensure our distribution centres are suitably located, etc. 
 Simulation:  
 The scale of our distribution network often makes many problems intractable due to the existence of millions of variables and how they interact with each other over time. We are investing to build an in-house Simulator to enable us to measure the impact of changes in the network over time and ultimately design a system that can be self aware"". 
 We are looking to expand our team to further our capabilities in these areas. 
 
Responsibilities: 
  Contribute to the development/ deployment of machine learning algorithms, operational research, semantic analysis, and statistical methods for finding 
structure in large data sets  Use advanced statistics and machine learning on large scale multidimensional data and generate actionable insights that will be leveraged to drive operations and 
develop strategies for Delhivery.  Breakdown business problems by working closely with Product Team and Leadership Management Team, analyze requirements and look into data to 
recommend products and solutions  Optimize Delhivery operations by applying data science in solving complex business problems  Collaborate with cross-functional teams including but not limited to Logistics, BD, Sales, Marketing, Security, Customer Service, etc.  Disseminate original research in peer reviewed journals and conferences Qualifications 
 
A suitable candidate should satisfy as many of the following requirements: 
  B.Tech/PhD/M.Tech/M.S in Computer Science, Operational Research, Statistics, Applied Mathematics or Natural Sciences with a very clear understanding of probability and statistics, analytical approach to problem solving, and capability to think critically on a diverse array of problems. Publications in peer-reviewed","
Self
",India,Delhivery,122002,https://www.delhivery.com/,"
Others
","Plot No 5, Sector 44 Gurgaon, Haryana",>5000,Between 1000 to 5000,"Resume,Online/Offline test (Max 30 mins)",AE_AG_AR_BS_BT_ET_CL_CH_CY_CE_CS_ES_EV_GG_HS_IM_MS_MA_ME_MT_MI_NS_NA_PH_EP_ID_RT_WM_RE,,,Data Scientist,0.0,5,1200000 INR  [1200000 fixed],No
"
MNC
",Bangalore,"Roles and Responsibilities: ● Own development, design, scaling and maintenance of application and messaging engines that power the central platform of Capillary's Cloud CRM product. ● Contribute to overall design and roadmap. Required Skills: ● Innovative and self-motivated with passion to develop complex and scalable applications. ● Strong focus on algorithms and data structures. ● Strong coding and design skills with prior experience in developing scalable & high availability applications using Core Java/J2EE, Spring, Hibernate. ● Work experience with Relational databases is required (Primarily MySQL) ● Prior work experience with Non-Relational databases (primarily Redis, MongoDb) is an added plus. ● Strong Analytical and Problem Solving Skills.","
Self
",India,Capillary Technologies,560068,www.capillarytech.com,"
IT/Software
","Capillary Technologies 31/9, Krimson Square, 1st Floor Roopena Agrahara, Hosur Main Road ",Between 500 to 1000,,"Resume,Online/Offline test (Max 30 mins)",AT_AE_AG_AR_BT_CH_CY_CE_CS_EE_EC_ES_EV_GG_TE_HS_IM_MS_MA_ME_MT_MI_NS_NA_PH_EP_IP_ID_RT_WM_RE,,,Software Development Engineer,0.0,4,"1612782 INR  [Btech: 16,12,782 [1225829 (Fixed) + +86,953 (Benefits and others) + 100000
(Joining Bonus) + 20000 (Relocation Bonus) +
150000(Retention Bonus) + 1 Week Accommodation ]
MTech(Dual): 18,79,719
[13,42,469 (Fixed) +
87250 (Benefits and others) + 100000 (Joining Bonus) +
20000 (Relocation Bonus) + 150000(Retention Bonus) + 1
Week Accommodation]]]",NO
"
StartUp
",Tokyo,"AI HOKKAIDO LAB, our Research & Development Center in Sapporo, Hokkaido JPN is seeking to welcome exceptional AI, Computer Vision and Image Processing engineers who are interested in both innovating in the field and applying and integrating innovations into products and services.
You will be working in a vibrant and dynamic work environment in a very fast growing company and will be given great opportunities to work on the cutting edge projects and researches that would be able to bring your ideas to life.","
Alumini Contact
",Japan,"AWL, Inc.",102-0073,https://awl.co.jp/en/,"
IT/Software
","Tokumiya Bldg. 6F, 1-12-4 Kudan-kita,",Between 50 to 100,Below 50,"Resume,Online/Offline test (Max 30 mins)",AE_AG_AR_BS_BT_ET_CL_CH_CY_CE_CS_EC_ES_EV_GG_TE_HS_IM_MS_MA_ME_MT_MI_NA_PH_EP_ID_RT_WM_RE,,"1. Excellent programming skills in Python/Matlab and C/C++ 2. Solid knowledge on Deep Learning frameworks such as Caffe, Torch/PyTorch, TensorFlow, MXNet, or NNabla is a strong plus 3. Relevant work or academic experience on Computer Vision/ Image Processing using Deep Learning is a plus 4. Familiarity with cloud services like Microsoft Azure etc. 5. Strong working knowledge of scripting to automate the processing of large datasets 6. Strong communication and organization skills, with a logical approach to problem-solving, good time management, and task prioritization skills 7. Rich experiences in software development companies or other research firms, especially overseas",AI ENGINEER / RESEARCHER,0.0,6,"4000000 JPY  [Gross Annual Salary: 4000000(JPY)
#commuting allowance will be paid under the company regulations
Additional Allowances: VISA support, air-ticket from India to Japan]",NO
"
MNC
",Mumbai,"CIB Quantitative Research (QR)
The Quantitative Research (QR) team of the Corporate & Investment Bank is an expert quantitative modeling
group in J.P. Morgan, a worldwide leader in financial engineering, statistical modeling, and portfolio management.
With more than 700 researchers worldwide, QR partners with traders, marketers, and risk managers across the
globe.
The QR team in Mumbai was established in 2015 and has grown since to provide quantitative finance support to
various markets businesses includes Equities, Fixed Income, Spread, Commodities, Counterparty Credit and
Wholesale Credit.
Youll make an impact by
· Guiding models through the entire development lifecycle, including preparing high-quality documentation
and driving the models through the internal model review & approval process
· Analyzing as well as developing mathematical models for systematic quantitative trading strategies, for
example Electronic Trading Algorithms, Index Arbitrage, Statistical Arbitrage, portfolio optimization, flow
recommendation research, IOI and Market Making
· Rapid prototyping & deployment of business intelligence tools for use by traders
· Market microstructure research, back-testing and reporting frameworks for market-making and quoting
strategies
· Full-range of programming tasks (in C++ and Python)  problem analysis, solution determination, code
design and development, integration, test, modification and documentation
About you
We're looking for highly motivated individuals with a passion for developing innovative solutions to support clients
around the world.
General Requirements
· Degree in mathematics, sciences, statistics, econometrics, engineering, financial engineering, computer
science, or other quantitative fields
· Exceptional quantitative, analytical and problem-solving skills
· Excellent communication and interpersonal skills
· Ability to work independently as well as in a team environment, meeting tight deadlines
· Programming experience of Python / C++ / Kdb is a distinct advantage
· Knowledge of derivative pricing, stochastic calculus, probability and high performance computing &
Machine Learning would be a plus
Join Us
At J.P. Morgan, were creating positive change for the diverse communities we serve. We do this by championing
your innovative ideas through a supportive culture that helps you every step of the way as you build your career. If
you are passionate, curious and ready to make an impact, were looking for you.
Whats next?
We will review applications as they are received and extend offers on a rolling basis. We strongly encourage that
you apply early since programs will close as positions are filled.
Visit jpmorgan.com/careers for upcoming events, career advice, our locations and more.
J.P. Morgan is a marketing name for JPMorgan Chase & Co., and its subsidiaries worldwide. ©2018 JPMorgan
Chase & Co. All rights reserved. J.P. Morgan is an equal opportunities employer.","
Self
",India,JPMorgan Chase & Co.,400098,http://www.jpmorgan.com/,"
Finance,Investment Banking
","J.P. Morgan Towers, Floor 8, Off CST Road, Kalina, Santacruz East, Mumbai, 400098, India",,,"Resume,Online/Offline test (Max 30 mins)",AT_AE_AG_AR_BS_BT_ET_CH_CY_CE_CS_EE_EC_ES_EV_GG_TE_HS_IM_MS_MA_ME_MT_MI_NS_NA_PH_EP_ID_RT_MM_WM_RE,,,Analyst - QR,0.0,1,"3200000 INR  [Fixed: 2100000
Relocation: 100000
Sign-On: 100000
Variable: 900000* On performance and pro-rata basis]",No
"
MNC
",Mumbai,"Research
J.P. Morgans Global Research was set up in Mumbai in August, 2003 as an extension of the Firms global equity research teams around the world. Research has grown steadily and the team of analysts has expanded to provide coverage for the key sectors globally. Besides working with J.P.  Morgans equity research teams, the Analysts in Research are now engaged with other areas of public side research including fixed income research, strategy, quant & derivatives and indices.
Youll make an impact by 
	Analyzing data from a variety of sources, including company reports, the internet, online databases and J.P. Morgan proprietary content 
	Building and analyzing financial models of companies and industries 
	Generating reports, graphs and datasets from the financial models 
	Writing content for reports and presentations to be used and published by colleagues in other parts of global research
	Maintaining contact with global colleagues in Research, and engaging with internal and external client requests
About you
We're looking for highly motivated individuals with a passion for developing high-quality research to support clients around the world.
Essential requirements
	Strong interest in making a career in finance and corporate analysis
	Strong quantitative and analytical skills and attention to detail
	Ability to work independently and in a team environment, meeting tight deadlines
	Excellent oral and written communication skills
	Advanced knowledge of Excel and some experience in functional programming languages like Python, R, SQL, etc..
Join Us 
At J.P. Morgan, were creating positive change for the diverse communities we serve. We do this by championing your innovative ideas through a supportive culture that helps you every step of the way as you build your career. If you are passionate, curious and ready to make an impact, were looking for you.
Whats next? 
We will review applications as they are received and extend offers on a rolling basis. We strongly encourage that you apply early since programs will close as positions are filled. 

Visit jpmorgan.com/careers for upcoming events, career advice, our locations and more.

J.P. Morgan is a marketing name for JPMorgan Chase & Co., and its subsidiaries worldwide. ©2018 JPMorgan Chase & Co. All rights reserved. J.P. Morgan is an equal opportunities employer.","
Self
",India,JPMorgan Chase & Co.,400098,http://www.jpmorgan.com/,"
Finance,Investment Banking
","J.P. Morgan Towers, Floor 8, Off CST Road, Kalina, Santacruz East, Mumbai, 400098, India",,,"Resume,Online/Offline test (Max 30 mins)",AT_AE_AG_AR_BS_BT_ET_CH_CY_CE_CS_EE_EC_ES_EV_GG_TE_HS_IM_MS_MA_ME_MT_MI_NS_NA_PH_EP_ID_RT_MM_WM_RE,,,Analyst,0.0,1,"1900000 INR  [Fixed: 1400000
Relocation: 100000
1L - sign on, 3 lacs bonus]",No
"
MNC
",Bangalore,"About GAC Analytics- Risk team is responsible for developing integrated risk strategies, providing business inferences, supporting the modeling, regulatory BASEL models, forecasting, IFRS9, stress testing needs and management information reporting for both Retail and Wholesale portfolios. This team provides support for risk mitigating from Mortgage, Credit Card, Personal Loan, Overdraft and SME products. The work would primarily involve the use of customer \ operational data and application of statistical tools and techniques to solve the business problems. Analytics - Marketing team is responsible for developing integrated marketing strategies and providing inferences to the business within the financial services for a large global bank across one or more geographical regions across retail and commercial managed business (CMB) portfolios. Typical activities vary from marketing planning functions, customer segmentation & targeting, digital lending, product offering and tracking and evaluation of marketing programs for liabilities and assets portfolios. The work would primarily involve the use of customer data and application of statistical tools and techniques to solve the business problems. Analytics- Information Management team supports various functions including Data Management, Business Intelligence Reporting and Infrastructure. This role will be in a team that is expected to design and develop Information management solutions which will help business drive informed decisions. The incumbent would contribute in information management deliverables that involve but not restricted to, Developing Data marts, warehouses using various ETL technologies and Building reporting framework, end user information delivery applications using BI and Web technologies. Analytics  MI team is responsible for developing integrated reports / dashboards and based on that provide inferences to the business within the financial services for a large global bank across one or more geographical regions. Analytics - HR SD Reporting & Analytics team provides Reporting and Analytical insights to the Global HR business. Primary responsibility includes Design, develop, maintain & improvise HR reporting and analytics needs across different HR functions. Analytics - Compliance analytics team will be involved in providing best-in-class Analytics solutions to the Financial Crime and Regulatory Compliance functions across lines of businesses and geographies within the organization. The team caters to both strategy and operations aspect of managing financial crime through a combination of regular processes and new development projects. Roles & Responsibilities The Analyst role will be responsible for supporting one of the team engaged into above analytical activities from one of the locations: Bangalore or Kolkata. Impact on the Business/Function  Independently delivers end to end on simple projects. Should assist in delivery of more complicated analyses/strategies under the supervision of the team lead..  Ensure flawless and timely delivery of projects  Independently resolve queries/issues associated with a project  Gain knowledge of processes and support implementation of process efficiency initiatives  Ensure adherence with all the applicable compliance policies (Data security policy, AML, operational risk, Functional manual, Group Compliance Manual, Audit recommendations, Internal Control requirements, regulatory guidelines etc.) and business standards of Organization as applicable. Take timely action on Audit comments and be able to demonstrate compliance with Internal controls Certain roles may also require the developing models or forecasting methodologies using SAS, Model Builder, Xeno or other platforms Customers / Stakeholders  Work with multiple customers/functions on multiple projects simultaneously and deliver in a timely, efficient and effective manner  Appetite to gain as much Business Knowledge through the project managers / seniors in the current team within GAC or from Business stakeholders. Gaining fair understanding of business and product landscape across all business units is important for the incumbent.  Demonstrate strong sense of ownership and accountability on projects through developing basic project management skills and regular communication with internal project managers and business stakeholders  Responsiveness to stakeholder queries and independently resolve issues and queries pertaining to projects / reports Leadership & Teamwork  Ensure personal integrity and adherence to established HSBC policy on conduct , compliance and ISR  Understand personal training needs and take initiative to follow through personal development plan in conjunction with line manager  Builds trust of partners (onshore and off-shore), juniors and seniors alike by demonstrating HSBC values & practices. Able to communicate well and form good relationship with team members and business partners. Operational Effectiveness & Control Ensure adherence with all the applicable compliance policies (Data security policy, AML, operational risk, Functional manual, Group Compliance Manual, Audit recommendations, Internal Control requirements, regulatory guidelines etc.) and business standards of Organization as applicable. Take timely action on Audit comments as guided by the line manager and be able to demonstrate compliance with Internal controls Role context The job holder is required to ensure the provision of complete, true and accurate analysis and report to functional management and senior executives under the supervision of his / her line manager, in order to facilitate effective decision making. Knowledge & Experience / Qualifications:  4 year Bachelors or Masters degree from reputed University with concentration on marketing, finance, economics, statistics, computer science, engineering or other quantitative fields  Strong analytical/quantitative skills. Knowledge and understanding of financial-services/ banking-operations preferred.  Proficiency in at least one computer language. Knowledge of SAS, SQL, R, MATLAB and other equivalent analytical tools is a plus  Ability to comprehend intricate and diverse range of business problems and analyze them with limited or complex data and provide a feasible solution framework.  Excellent written and verbal communication skills. Ability to develop and effectively communicate complex concepts and ideas.  Ability to work in cross-functional teams. Strong interpersonal skills and drive for success","
Self
",India,HSBC,560076,http://www.hsbcservicedelivery.com; http://www.hsbcglobalresourcing.com,"
Finance
","
HSBC Technology and Services - Service Delivery, RMZ Futura I, Bannerghatta Main Road
",>5000,>5000,Online/Offline test (Max 30 mins),AT_AE_AG_AR_BS_BT_ET_CL_CH_CY_CE_CS_EE_EC_ES_EV_GG_TE_HS_IM_MS_MA_ME_MT_MI_NS_NA_PH_EP_ID_RT_WM_RE,,NO,ANALYST,0.0,5,"1100000 INR  [M.Tech & M.Sc- Fixed 10L

Basic

369395

Flexible Allowance Package

568507

Total Cash

937902

Companies Contribution of PF

44327

Gratuity

17771

Fixed CTC

1000000 ; Dual Degree/Phd:  Fixed 11.5 L

Basic

424804

Flexible Allowance Package

653783

Total Cash

1078587

Companies Contribution of PF

50976

Gratuity

20437

Fixed CTC

1150000]",NO
"
StartUp
",Bangalore,"Job Description :

We are looking for a passionate hands-on engineer to join the Bangalore Swiggy Engineering team. In this role, you will be responsible to drive innovation in full-stack product development, while relentlessly improving performance, scalability, and maintainability.
 
Required Skill Set:
 
Good problem-solving skills
Sound knowledge and application of algorithms and data structures with space and time complexities
Strong design skills involving data modeling and low-level class design
Good knowledge of object-oriented programming and design patterns
Proficiency in at least one programming language
Follow industry coding standards and responsible for writing maintainable/scalable/efficient code to solve business problems
Hands-on experience of working with Databases and Linux/Unix platform
Follow SDLC in an agile environment and collaborate with multiple cross-functional teams to drive on-time deliveries
Strong technical aptitude and good knowledge of CS fundamentals
B Tech/M Tech from IIT KGP","
Self
",India,Swiggy,560029,https://www.swiggy.com/,"
Ecommerce
","4/1 Bannerghatta Main Road 9th Floor Tower D IBC Towers, Bhavani Nagar, S.G. Palya, Bangalore, Karnataka 560029",>5000,,"Resume,Online/Offline test (Max 30 mins)",AT_AE_AG_AR_BT_ET_CL_CH_CY_CE_CS_EE_EC_ES_EV_GG_TE_HS_IM_MS_MA_ME_MT_MI_NA_PH_EP_IP_ID_RT_WM_RE,,,Software Development Engineer-1,0.0,,"2920000 INR  [Fixed: 1800000, 100000 Joining bonus
100000 Retention bonus
ESOPs worth 9,20,000/- as per prevailing FMV at the time of your joining.]",NO
"
StartUp
",Bangalore,"What you need to have
Bachelor's degree in Business Administration, Engineering, Economics, Finance, Mathematics, Statistics, or a related quantitative field
1-3 years of experience in analytics/data science or related field
Hands-on experience on data manipulation tools like SQL, R, SAS, Python, Excel etc.
Exposure to BI Platforms like Power BI, Tableau etc.
Knowledge of basic statistical measurement frameworks (measures of central tendency, dispersion, distribution, significance testing etc.)
Basic knowledge of machine learning techniques for Regression, Classification etc.

What we expect from you 
Creative thinking to solve real-world problems
Fail fast, learn faster approach
Comfortable in a high-energy, fast-paced environment
Proficient verbal and written communication skills
Detail-oriented with the ability to self-direct work in an unstructured environment
Excellent partnership and collaboration skills with the ability to work cross-functionally
Good organizational skills including prioritizing, scheduling, time management, and meeting deadlines.

What will you work on
Work with large, complex data sets to solve business problems, applying advanced analytical methods as needed
Monitor and forecast key business metrics on a regular basis
Conduct regular planning and reviews key performance metrics and aid in benefitting from change
Identify the right metrics to track progress against a given business goal
Design, run and measure experiments to test business hypotheses Expedite root cause analyses/insight generation against a given recurring use case through automation/self-serve platforms
Develop compelling stories with business insights, focusing on strategic goals of the organisation
Work with Business, Product and Data engineering teams for continuous improvement of data accuracy through feedback and scoping on instrumentation quality and completeness","
Self
",India,Swiggy,560029,https://www.swiggy.com/,"
Ecommerce
","4/1 Bannerghatta Main Road 9th Floor Tower D IBC Towers, Bhavani Nagar, S.G. Palya, Bangalore, Karnataka 560029",>5000,,Online/Offline test (Max 30 mins),AT_AE_AG_AR_BT_ET_CL_CH_CY_CE_CS_EE_EC_ES_EV_GG_TE_HS_IM_MS_MA_ME_MT_MI_NA_PH_EP_IP_ID_RT_WM_RE,,,Business Analayst,0.0,3,1100000 INR  [11 LPA (1000000 fixed + 1 LPA Joining Bonus)],NO
"
Private
",Hyderabad,"Coordinate between Data Scientists and Business Analysts
Automate infrastructure used by the Data Science team
Convert machine learning models into APIs so that other applications can access them
Test and deploy models
Develop minimum viable products based on machine learning
Automate processes by utilizing machine learning
Use AI to empower the company with novel capabilities","
Contacted by CDC
",India,Uniworks Designs Pvt. Ltd,500081,www.uniworksdesigns.com,"
Professional Services
","Uniworks Designs 1st floor Lamba Trendz Unity, Madhapur",Between 50 to 100,Below 50,Resume,AT_AE_AG_AR_BT_ET_CL_CH_CY_CE_CS_EE_EC_ES_EV_GG_TE_HS_IM_MS_MA_ME_MT_MI_NA_EP_IP_ID_RT_RE,,,software development and machine learning,0.0,8,700000 INR  [700000],NO
"
Private
",Hyderabad,"We at Uniworks Designs are looking to hire a senior architect/interior for our Hyderabad & Delhi office with an experienced who can handle our residential and commercial portfolio with a keen eye for detailing.

Key skills required

Excellent at conceptual design and detailing along with team management
Should have architectural and interiors exposure.
Able to handle clients and project team without any hassles
Minimum experience : 2years  6years
Good knowledge of softwares like autocad, google sketchup, Revit and MS office","
Contacted by CDC
",India,Uniworks Designs Pvt. Ltd,500081,www.uniworksdesigns.com,"
Professional Services
","Uniworks Designs 1st floor Lamba Trendz Unity, Madhapur",Between 50 to 100,Below 50,Resume,AT_AE_AG_AR_BT_ET_CL_CH_CY_CE_CS_EE_EC_ES_EV_GG_TE_HS_IM_MS_MA_ME_MT_MI_NA_EP_IP_ID_RT_WM_RE,,,Architect,0.0,,700000 INR  [700000],No
