category,city,about,reference,country,company,zipcode,website,sector,address,employees,turnover,selection,dep_str,cgpa_criteria,criteria,profile,cgpa_cutoff,day,package,contract
"
MNC
",Bangalore,"SAP IBSO is a global organization that helps customers seize new market opportunities and dynamically respond to new business challenges by developing unique, individualized, customer-specific solutions on the SAP platform. Whether our customers need to extend and enhance an existing SAP solution or build an entirely new and innovative application, SAP IBSO is able to deliver high-quality custom solutions tailored to our customers business needs. 
 
SAP thrives towards accelerating our customers digital transformation via our digital innovation platform called SAP Leonardo. SAP Leonardo encompasses all domains of todays data driven technologies in Machine Learning, Big Data, Analytics, Data Intelligence, Blockchain, IoT. While focusing on needs and demands from our customers, we help realize SAPs strategic goal of leading in next-generation technologies by providing intelligent and scalable solutions. Youll be working in a unique position, collaborating closely with both customers and SAP standard teams. In close interaction with customers, youll apply the full range of state-of-the-art tools. 
EDUCATION  B.Tech/Dual Degree/MSc/MTech  
 
SKILLS AND COMPETENCIES 
  Knowhow of SAP S/4 HANA ABAP(OO) stack, CDS, NW 7.5  Knowhow of UI5 will be added advantage  Excellent verbal, written and presentation communication skills
EXPECTATIONS AND TASKS 
 
 Work in a team for coding, testing, documentation or resolution of customer issues, as part of project development activities.  Jointly responsible for ensuring the quality of the solution along with the project manager & architect(s)  Work closely with other custom development team members, SAP development teams, external partners and customer teams to ensure successful project completion  Adapt to newer products and solutions, and gather expertise in the newer areas  Willingness to travel on short notice for varying durations.","
Contacted by CDC
",India,SAP,560066,www.sap.com,"
IT/Software
","#138, SAP Labs Rd, EPIP Zone,",>5000,,"Resume,Online/Offline test (Max 30 mins)",AT_AE_AG_AR_BT_ET_CL_CH_CY_CE_CS_EE_EC_ES_GG_TE_HS_IM_MS_MA_ME_MT_MI_NA_PH_ID_RT_WM_RE,,Minimum of 60% in 10 & 12,Associate Developer_IBSO_ABAP,0.0,,"3740800 INR  [3740800 INR [B.Tech(Bachelor) - INR 37,40,800 [Compensation Details: Total Target Cash :1,700,000 ; Joining Bonus*:600,000 ; RSUs**: 680,000 ; Total Benefits*** : 760,800; Total Compensation : 37,40,800] M.Tech (Masters/Dual Degree) - INR 33,10,800 [Compensation Details: Total Target Cash :1,500,000 ; Joining Bonus*:600,000 ; RSUs**: 450,000 ; Total Benefits*** : 760,800; Total Compensation : 33,10,800] *Joining Bonus is paid in 6 equal instalment for 3 years ** the RSUs will vest one-third on each anniversary of the grant date for three years. ***Benefits are subject to company]",NO
"
MNC
",Bangalore,"SAP, Originally known for leadership in enterprise resource planning (ERP) software, SAP has evolved to become a market leader in end-to-end enterprise application software, database, analytics, intelligent technologies, and experience management. A top cloud company with 200 million users worldwide, SAP helps businesses of all sizes and in all industries to operate profitably, adapt continuously, and achieve their purpose.
SAP is revolutionizing datas role in digital and experience economy by providing enterprise class database solutions on premise and in cloud. We aim to help our customers thrive in a new paradigm where being a data driven enterprise is key to success. At the heart of the strategy is building SAP HANA Database Platform, where we apply cutting edge research in main memory computing, multi-core processing and data management to provide real-time analysis of business data and extreme transactional processing for customers to run mission critical solutions. We are seeking highly talented and motivated developers to work on our database products. A successful candidate is expected to have excellent problem-solving abilities, entrepreneurial zeal, fluency in coding and system design, solid communication skills and desire to solve complex problems. You will get opportunity to contribute to our suite of enterprise class relational databases: SAP HANA, SAP ASE, SAP IQ. You will use your skills and initiative to improve functionality and performance of these products. You will have opportunity to contribute to a wide variety of core components, e.g. query processing, storage, access, resource management, distributed systems. Expectations  Design, implement and maintain in a core competency in SAP HANA, SAP ASE, SAP IQ  Design robust systems aligned with SAPs cloud first strategy to deliver solutions  File patents and generate IP for SAP. Publish white papers and or research paper on your work  Provide quality solutions to complex problem faced by SAP customers  Take ownership of work and operate in a globally distributed organization  Resolve customer reported issues in a timely manner  Articulate technical information clearly for customers and within our organization  Prioritize tasks, develop detailed designs with estimated efforts and drive topics to completion  Contribute to SAPs success story in data management suite on-premise and in cloud
Education & Skill Requirements  Bachelor / Master of Engineering with preference of Computer Science Engineering  Must have excellent analytical skills  Must have strong knowledge of C/C++ programming language  Must understand multi-threaded architecture  Good to have expertise in cloud technologies like Docker, Kubernetes, etc.  Expertise in areas like following is an advantage: device drivers, operating systems, query processing, file systems, storage, in-memory resource management, multi-threading, distributed computing  Must be able to multi-task and work independently  Must have excellent communication and articulation skills  Good to have sound knowledge of database internals/database architecture","
Contacted by CDC
",India,SAP,560066,www.sap.com,"
IT/Software
","#138, SAP Labs Rd, EPIP Zone,",>5000,,"Resume,Online/Offline test (Max 30 mins)",AT_AE_AG_AR_BT_ET_CL_CH_CY_CE_CS_EE_EC_ES_EV_GG_TE_HS_IM_MS_MA_ME_MT_MI_NA_PH_ID_RT_WM_RE,,Minimum of 60% in 10 & 12,Associate Developer _ SAP HANA Cloud Database Developer,0.0,,"3740800 INR  [3740800 INR [B.Tech(Bachelor) - INR 37,40,800 [Compensation Details: Total Target Cash :1,700,000 ; Joining Bonus*:600,000 ; RSUs**: 680,000 ; Total Benefits*** : 760,800; Total Compensation : 37,40,800] M.Tech (Masters/Dual Degree) - INR 33,10,800 [Compensation Details: Total Target Cash :1,500,000 ; Joining Bonus*:600,000 ; RSUs**: 450,000 ; Total Benefits*** : 760,800; Total Compensation : 33,10,800] *Joining Bonus is paid in 6 equal instalment for 3 years ** the RSUs will vest one-third on each anniversary of the grant date for three years. ***Benefits are subject to company policy  refer below the components of the benefits.]]",NO
"
MNC
",Bangalore,"What will you do: 
 
 Bring innovation, intelligence, DevOps  and Automations together with the newest technologies to help clients innovate at scale and transform their businesses  Turn innovative ideas into business differentiation by creating solutions   Drive innovation and accelerate growth by leveraging the hyperscale/multi-cloud infrastructure services  Deliver projects for global clients using the latest in integrated analytics, intelligent automation, multi cloud technologies and AI to achieve greater speed and scale. Apply a people-first automation strategy and participate in the human revolution   Responsibilities include analysing production errors to define and create tools that help mitigate problems  Analyze code and communicate detailed reviews to development teams to ensure a marked improvement in applications and the timely completion of projects  Collaborate with team members to improve the companys engineering tools, systems and procedures, and data security. Work with customers and other teams to troubleshoot customer environment issues with an end objective to increase user satisfaction   Optimize the overall computing architecture  Conduct systems tests for security, performance, and availability  Develop and maintain design and troubleshooting documentation 
 
DevOps Engineer Requirements: 
 
 Automation proficiency with at least one configuration/ deployment management system such as Terraform, Chef, Google deployment manager, Puppet, Ansible and other such tools  Proficient in working of the following languages: Node.js, Python, PHP, Ruby, Java. Proficient with git and git workflows  Proficient in leveraging CI/CD tools to automate testing and deployment.   Excellent know-how of developing tools and processes, create playbooks to drive and improve customer experiences  Excellent analytical, presentation and communication skills 

 
 
 Excellent interpersonal skills, with exceptional team player attitude and good understanding of working in an Agile, fast paced, DevOps environment 
 
Knowledge of two or more of the following technologies and at least one operational framework: 
 
 Windows administration, IIS, .NET, SharePoint, Active directory  Linux administration, Rails, Ruby, and Apache etc.  Virtualization techniques, Storage and Compute concepts  MySQL or MSSQL database: General administration and troubleshooting and proficient in database concepts   Exposure to operational framework like ITIL/ITSM, Six Sigma","
Contacted by CDC
",India,SAP,560066,www.sap.com,"
IT/Software
","#138, SAP Labs Rd, EPIP Zone,",>5000,,"Resume,Online/Offline test (Max 30 mins)",AT_AE_AG_BT_ET_CH_CY_CE_CS_EE_EC_ES_EV_TE_IM_MS_MA_ME_MT_NA_RT_RE,,Minimum of 60% in 10 & 12,Associate DevOps Engineer _ Successfactors_Cloud operation,0.0,,"3740800 INR  [3740800 INR [B.Tech(Bachelor) - INR 37,40,800 [Compensation Details: Total Target Cash :1,700,000 ; Joining Bonus*:600,000 ; RSUs**: 680,000 ; Total Benefits*** : 760,800; Total Compensation : 37,40,800] M.Tech (Masters/Dual Degree) - INR 33,10,800 [Compensation Details: Total Target Cash :1,500,000 ; Joining Bonus*:600,000 ; RSUs**: 450,000 ; Total Benefits*** : 760,800; Total Compensation : 33,10,800] *Joining Bonus is paid in 6 equal instalment for 3 years ** the RSUs will vest one-third on each anniversary of the grant date for three years. ***Benefits are subject to company policy  refer below the components of the benefits.]]",NO
"
MNC
",Tokyo,"[Job Description]
We are developing the system software of PlayStation. Our team is especially in charge of developing libraries of
audio and video codec.
While communicating with game and application developers, we design, develop and evaluate SDK for our game
console. We also work closely with development teams of system software features which utilize audio and video
codecs. The other important aspect of our team is to design and develop libraries which take full advantage of
state-of-the-art dedicated hardware.
You will join the development team of video codec library.
Your Responsibilities:
- Design and develop robust and flexible software which is durable for every periodic update during the long
product life cycle
- Evaluate and test software solutions we have developed
- Prepare SDK documents and samples with SDK release team
- Support game and application developers by answering questions and requests with developer relations team
- Analyze requirements of system software features and provide appropriate functionality for the purpose
[Product, Service]
PlayStation
[Development Environment]
Windows / VisualStudio with original development tools
[Required Engineering Skills]
- Proficiency in C/C++ is a must
- Knowledge and experience of object oriented design and programming is highly preferred
- Knowledge of digital signal processing is highly preferred
- Knowledge of design and programming of device drivers for Linux or FreeBSD is preferred
- Basic knowledge of video codecs like H.264 and H.265 is preferred
- Experience in GPU programing is preferred
[Other requirements]
- The ability to deliver on tight deadlines and adapt to evolving or changing requirements
- Excellent verbal and written communication skills in English, and willingness in learning Japanese","
Self
",Japan,Sony Japan,108-0075,https://www.sony.net/,"
IT/Software
",1-7-1 Konan Minato-ku,,,"Resume,Online/Offline test (Max 30 mins)",AT_AE_AG_AR_BS_BT_ET_CH_CY_CE_CS_EE_EC_ES_EV_GG_TE_IM_MS_MA_ME_MT_MI_NS_NA_PH_ID_RT_MM_WM_RE,,"In addition to CV, you will have to submit an essay. The
format will be provided for you separately.
Up to three positions are available to apply for.
If you are applying to multiple positions, please list JAF numbers in order of priority in the essay. 
*If you wish to apply to only 1 or 2 positions, please list only those ones.
(If this essay was not submitted in a completed form by the deadline, you will not be eligible for the selection.)","System Software Engineer (PlayStation, Video codec library)",0.0,1,"9233840 JPY  [[Total amount of CTC]
Bachelor : JPY 9,233,840
Master : JPY 9,763,540
Ph.D. : JPY 10,281,360

[Breakdown of CTC]
1. Gross
(1)Base Salary
Bachelor : JPY 3,525,000
Master : JPY 3,900,000
PhD : JPY 4,275,000
(2)Bonus
Bachelor : JPY 1,175,000
Master : JPY 1,300,000
PhD : JPY 1,425,000
(3)Dormitory Support
JPY 900,000
*2/3 of the dormitory fee will be paid by company
*This applies to all the programs (Bachelor, Master, and Ph.D.).
(4)Commuting Expense
JPY 80,000
*From company dormitory to the office
*This applies to all the programs (Bachelor, Master, and Ph.D.).

2. Other Allowances/Cost
(1)Arrival Allowance * One-time payment
JPY 240,000
(2)Moving Expense * One-time payment
JPY 400,000
(3)Japanese Language Training
JPY 1,900,000
*Japanese language training will be provided.
(3)Overtime payment
JPY 800,000 - Assume 25h/month
*Overtime payment applies to all the programs (Bachelor, Master, and Ph.D.)
*This may vary depending on your overtime hours.
(4)Health Insurance
Bachelor: JPY 213,840
Master: JPY 243,540
Ph.D.: JPY 261,360
*This may vary depending on your Base Salary.]",No
"
MNC
",Tokyo,"[Job Description]
The team develops audio system software and SDK for home entertainment system. It includes device drivers, signal processing modules and interface to peripherals. Also libraries and tools for application developers. As well as periodical updates of the system software, we release SDK to our customers, video game application developers. The main responsibilities of the position is design and develop software modules and integrate them into the system. The design and implementation needs careful consideration of stakeholders' needs, technical limitations and schedule. Most of the modules are required to be highly optimized for efficient use of system resources. It's required to work closely with other engineering members and audio expert teams at globally different locations, and also interacting with product planning, hardware engineers, developer support and game developers.

[Product, Service]
Home video game entertainment system, Audio peripherals

[Development Environment]
Windows, linux, C++, Visual Studio

[Required Engineering Skills]
High level of programming skill (C/C++) - such as experience of thousands of lines of code.
Understanding of computer architecture and operating system architecture.
Knowledge of digital signal processing.
Nice to have the ability of multi-thread programming and real-time systems.","
Self
",Japan,Sony Japan,108-0075,https://www.sony.net/,"
IT/Software
",1-7-1 Konan Minato-ku,,,"Resume,Online/Offline test (Max 30 mins)",AT_AE_AG_AR_BS_BT_ET_CH_CY_CE_CS_EE_EC_ES_EV_GG_TE_IM_MS_MA_ME_MT_MI_NS_NA_PH_ID_RT_MM_WM_RE,,"In addition to CV, you will have to submit an essay. The
format will be provided for you separately.
Up to three positions are available to apply for.
If you are applying to multiple positions, please list JAF numbers in order of priority in the essay. 
*If you wish to apply to only 1 or 2 positions, please list only those ones.
(If this essay was not submitted in a completed form by the deadline, you will not be eligible for the selection.)","System Software Engineer (PlayStation, Home entertainment system)",0.0,,"9233840 JPY  [[Total amount of CTC]
Bachelor : JPY 9,233,840
Master : JPY 9,763,540
Ph.D. : JPY 10,281,360

[Breakdown of CTC]
1. Gross
(1)Base Salary
Bachelor : JPY 3,525,000
Master : JPY 3,900,000
PhD : JPY 4,275,000
(2)Bonus
Bachelor : JPY 1,175,000
Master : JPY 1,300,000
PhD : JPY 1,425,000
(3)Dormitory Support
JPY 900,000
*2/3 of the dormitory fee will be paid by company
*This applies to all the programs (Bachelor, Master, and Ph.D.).
(4)Commuting Expense
JPY 80,000
*From company dormitory to the office
*This applies to all the programs (Bachelor, Master, and Ph.D.).

2. Other Allowances/Cost
(1)Arrival Allowance * One-time payment
JPY 240,000
(2)Moving Expense * One-time payment
JPY 400,000
(3)Japanese Language Training
JPY 1,900,000
*Japanese language training will be provided.
(3)Overtime payment
JPY 800,000 - Assume 25h/month
*Overtime payment applies to all the programs (Bachelor, Master, and Ph.D.)
*This may vary depending on your overtime hours.
(4)Health Insurance
Bachelor: JPY 213,840
Master: JPY 243,540
Ph.D.: JPY 261,360
*This may vary depending on your Base Salary.]",No
"
MNC
",Tokyo,"[Job Description]
As a Graphics Software Engineer, you will be working on core graphics technologies for the platform.
(Ex: Graphics related Kernel/User Mode Driver, Graphics SDK Library, Performance and Debugging Tools.)
Design and program low level graphics components to be used by development teams around the world
Create clean, efficient, and well tested code
Support 1st and 3rd party development teams across the world
Collaborate with our sister technology groups on global projects
Write high quality user documentation
Additional responsibilities may be assigned as needed

[Product, Service]
Game Console

[Development Environment]
Windows10,FreeBSD,Linux

[Required Engineering Skills]
Excellent 3D math skills (linear algebra, vector math)
Strong knowledge of Graphics.
Strong knowledge of Computer architecture background (Parallel computing)
Strong knowledge of C and C++ programming languages
Strong knowledge of industry standard graphics APIs (DirectX, OpenGL, libGCM, Gnm Library)
Strong knowledge of assembly level programming languages
Desire to understand hardware at a low level
Knowledge of shader programming languages (PSSL/HLSL/GLSL/Cg) *Preferred*
Experience with GPGPU or Compute Shaders *Preferred*

[Other Requirements]
Self-motivated individual with excellent problem solving skills
Good oral and written communication skills","
Self
",Japan,Sony Japan,108-0075,https://www.sony.net/,"
IT/Software
",1-7-1 Konan Minato-ku,,,"Resume,Online/Offline test (Max 30 mins)",AT_AE_AG_AR_BS_BT_ET_CH_CY_CE_CS_EE_EC_ES_EV_GG_TE_IM_MS_MA_ME_MT_MI_NS_NA_PH_ID_RT_MM_WM_RE,,"In addition to CV, you will have to submit an essay. The
format will be provided for you separately.
Up to three positions are available to apply for.
If you are applying to multiple positions, please list JAF numbers in order of priority in the essay. 
*If you wish to apply to only 1 or 2 positions, please list only those ones.
(If this essay was not submitted in a completed form by the deadline, you will not be eligible for the selection.)",Graphics Software Engineer (PlayStation),0.0,,"9233840 JPY  [[Total amount of CTC]
Bachelor : JPY 9,233,840
Master : JPY 9,763,540
Ph.D. : JPY 10,281,360

[Breakdown of CTC]
1. Gross
(1)Base Salary
Bachelor : JPY 3,525,000
Master : JPY 3,900,000
PhD : JPY 4,275,000
(2)Bonus
Bachelor : JPY 1,175,000
Master : JPY 1,300,000
PhD : JPY 1,425,000
(3)Dormitory Support
JPY 900,000
*2/3 of the dormitory fee will be paid by company
*This applies to all the programs (Bachelor, Master, and Ph.D.).
(4)Commuting Expense
JPY 80,000
*From company dormitory to the office
*This applies to all the programs (Bachelor, Master, and Ph.D.).

2. Other Allowances/Cost
(1)Arrival Allowance * One-time payment
JPY 240,000
(2)Moving Expense * One-time payment
JPY 400,000
(3)Japanese Language Training
JPY 1,900,000
*Japanese language training will be provided.
(3)Overtime payment
JPY 800,000 - Assume 25h/month
*Overtime payment applies to all the programs (Bachelor, Master, and Ph.D.)
*This may vary depending on your overtime hours.
(4)Health Insurance
Bachelor: JPY 213,840
Master: JPY 243,540
Ph.D.: JPY 261,360
*This may vary depending on your Base Salary.]",No
"
MNC
",Tokyo,"[Job Description]
We are looking for a passionate Software Engineer to design, develop software components for Realtime Communication Service running on various clients including Game Console (PS4) and Mobile (iOS, Android) of PlayStation Network. Software Engineer responsibilities include gathering the latest technology trends, defining system functionality orchestrated with server system and writing code in C, C++. Our ideal candidates are familiar with agile software development with CI/CD from preliminary system analysis to tests and deployment. Ultimately, the role of the Software Engineer is to build high-quality, innovative and fully performing software that contributes the first-class experience for tens of millions of players in PlayStation Network.

[Responsibilities]
- Execute full software development life cycle
- Develop flowcharts, layouts and documentation to identify requirements and solutions
- Write well-designed, testable code
- Produce specifications and determine operational feasibility
- Integrate software components into a fully functional software system
- Develop software verification plans and quality assurance procedures
- Document and maintain software functionality
- Troubleshoot, debug and upgrade existing systems

[Product, Service]
PlayStation

[Development Environment]
Windows/OSX

[Required Engineering Skills]
- Familiar with network protocols, security and cryptographic algorithms especially for Chromium and/or WebRTC
- Experience designing and coding network applications with streaming medias (voice, video, etc)
- Ability to develop large, cross-platform software in C, C++
- Proficiency in software engineering tools (build system, toolchains) especially for GN/Ninja

[Other requirements]
- Passion for self-improvement, a healthy appetite for learning, and willingness to mentor","
Self
",Japan,Sony Japan,108-0075,https://www.sony.net/,"
IT/Software
",1-7-1 Konan Minato-ku,,,"Resume,Online/Offline test (Max 30 mins)",AT_AE_AG_AR_BS_BT_ET_CH_CY_CE_CS_EE_EC_ES_EV_GG_TE_IM_MS_MA_ME_MT_MI_NS_NA_PH_ID_RT_MM_WM_RE,,"In addition to CV, you will have to submit an essay. The
format will be provided for you separately.
Up to three positions are available to apply for.
If you are applying to multiple positions, please list JAF numbers in order of priority in the essay. 
*If you wish to apply to only 1 or 2 positions, please list only those ones.
(If this essay was not submitted in a completed form by the deadline, you will not be eligible for the selection.)","Software Engineer (PlayStation, Realtime Communication Service)",0.0,,"9233840 JPY  [[Total amount of CTC]
Bachelor : JPY 9,233,840
Master : JPY 9,763,540
Ph.D. : JPY 10,281,360

[Breakdown of CTC]
1. Gross
(1)Base Salary
Bachelor : JPY 3,525,000
Master : JPY 3,900,000
PhD : JPY 4,275,000
(2)Bonus
Bachelor : JPY 1,175,000
Master : JPY 1,300,000
PhD : JPY 1,425,000
(3)Dormitory Support
JPY 900,000
*2/3 of the dormitory fee will be paid by company
*This applies to all the programs (Bachelor, Master, and Ph.D.).
(4)Commuting Expense
JPY 80,000
*From company dormitory to the office
*This applies to all the programs (Bachelor, Master, and Ph.D.).

2. Other Allowances/Cost
(1)Arrival Allowance * One-time payment
JPY 240,000
(2)Moving Expense * One-time payment
JPY 400,000
(3)Japanese Language Training
JPY 1,900,000
*Japanese language training will be provided.
(3)Overtime payment
JPY 800,000 - Assume 25h/month
*Overtime payment applies to all the programs (Bachelor, Master, and Ph.D.)
*This may vary depending on your overtime hours.
(4)Health Insurance
Bachelor: JPY 213,840
Master: JPY 243,540
Ph.D.: JPY 261,360
*This may vary depending on your Base Salary.]",No
"
MNC
",Tokyo,"[Description]
Site Reliability Engineer for PlayStation Network: PlayStation Network is the network platform service for PlayStation and provides account, commerce, social network, and online game features for game developers and tens of millions of global customers. As a Site Reliability Engineer, you will design, build and run PlayStation Network services, and ensure the services have high-reliability and availability with appropriate performance to deliver delightful user experience.
- Engage in the whole lifecycle of products from their inception and design, to deployment, operation and refinement.
- Continuously monitor, measure and improve KPIs including uptime, latency, throughput, capacity and cost.
- Leverage automation to have efficient and sustainable operations.
- Practice sustainable incident response participating in on-call rotation and preventative measures.

[Product, Service]
PlayStation, PlayStation Network, Video Game, Network Service

[Development Environment]
Linux, Cloud (AWS), Container(Docker), Github, Chef, Jenkins,etc.

[Required Engineering Skills]
- Systematic problem-solving approach, coupled with strong communication skills and a sense of ownership and drive
- Ability to debug and optimize code and automate routine tasks
- Understanding of standard networking protocols and components such as: HTTP, DNS, TCP/IP, SSL and Load Balancing.
- Understanding of traditional and distributed database technologies
- Experience in one or more of the following: C, C++, Java, Python, Perl, or Ruby
- Experience with Unix/Linux environment and Cloud, e.g. AWS

[Other requirements]
- Interest in PlayStation and online gaming
- Interest in designing, building and operating large-scale network service for global consumer market
- Interest in working at international work environment
(e.g. frequent meetings and business trips between Japan and US)","
Self
",Japan,Sony Japan,108-0075,https://www.sony.net/,"
IT/Software
",1-7-1 Konan Minato-ku,,,"Resume,Online/Offline test (Max 30 mins)",AT_AE_AG_AR_BS_BT_ET_CH_CY_CE_CS_EE_EC_ES_EV_GG_TE_IM_MS_MA_ME_MT_MI_NS_NA_PH_ID_RT_MM_WM_RE,,"In addition to CV, you will have to submit an essay. The
format will be provided for you separately.
Up to three positions are available to apply for.
If you are applying to multiple positions, please list JAF numbers in order of priority in the essay. 
*If you wish to apply to only 1 or 2 positions, please list only those ones.
(If this essay was not submitted in a completed form by the deadline, you will not be eligible for the selection.)",Site Reliability Engineer (PlayStation Network),0.0,,"9233840 JPY  [[Total amount of CTC]
Bachelor : JPY 9,233,840
Master : JPY 9,763,540
Ph.D. : JPY 10,281,360

[Breakdown of CTC]
1. Gross
(1)Base Salary
Bachelor : JPY 3,525,000
Master : JPY 3,900,000
PhD : JPY 4,275,000
(2)Bonus
Bachelor : JPY 1,175,000
Master : JPY 1,300,000
PhD : JPY 1,425,000
(3)Dormitory Support
JPY 900,000
*2/3 of the dormitory fee will be paid by company
*This applies to all the programs (Bachelor, Master, and Ph.D.).
(4)Commuting Expense
JPY 80,000
*From company dormitory to the office
*This applies to all the programs (Bachelor, Master, and Ph.D.).

2. Other Allowances/Cost
(1)Arrival Allowance * One-time payment
JPY 240,000
(2)Moving Expense * One-time payment
JPY 400,000
(3)Japanese Language Training
JPY 1,900,000
*Japanese language training will be provided.
(3)Overtime payment
JPY 800,000 - Assume 25h/month
*Overtime payment applies to all the programs (Bachelor, Master, and Ph.D.)
*This may vary depending on your overtime hours.
(4)Health Insurance
Bachelor: JPY 213,840
Master: JPY 243,540
Ph.D.: JPY 261,360
*This may vary depending on your Base Salary.]",No
"
MNC
",Tokyo,"[Description]
We are looking for an engineer to join a team responsible for development, debug, delivery and technical support of PlayStation System Software and its SDK.

The mission of this group is to support development and integration of media streaming services.

The group expects you to Basic / Specific Design for large-scale Software, including coding, debugging and testing that includes;
- able to carry out work from design to debug and test instead of doing all the work partly
- able to ensure the quality of the software
- able to come up with new ideas to achieve given tasks
- able to provide appropriate level of technical support for inquiries from developers in a timely manner
- able to contribute to publishing cutting edge media streaming services on PlayStation

[Product, Service]
PlayStation

[Development Environment]
Visual Studio

[Required Engineering Skills]
●Programming Skills:
・Proficiency in C/C++ is a must
- Proficiency of JavaScript is highly preferred
- Knowledge of Object Oriented Programming is highly preferred
- Knowledge of Audio/Video Streaming Technolories, such as codecs, degital rights management, streaming format and media playback framework is highly preferred
●Engineering Skills:
・Project experiences in software development
- Familiar with the process such as designing, coding, debugging, testing
●Communication Skills:
- able to collaborate with internal / external teams in both verval and writing
- able to enjoy cross-cultural communication

[Other Requirements]
- Having a great interest of the video gaming industry
- The ability to deliver on tight deadlines and adapt to evolving or changing requirements
- Excellent verbal and written communication skills in English, and willingness in learning Japanese","
Self
",Japan,Sony Japan,108-0075,https://www.sony.net/,"
IT/Software
",1-7-1 Konan Minato-ku,,,"Resume,Online/Offline test (Max 30 mins)",AT_AE_AG_AR_BS_BT_ET_CH_CY_CE_CS_EE_EC_ES_EV_GG_TE_IM_MS_MA_ME_MT_MI_NS_NA_PH_ID_RT_MM_WM_RE,,"In addition to CV, you will have to submit an essay. The
format will be provided for you separately.
Up to three positions are available to apply for.
If you are applying to multiple positions, please list JAF numbers in order of priority in the essay. 
*If you wish to apply to only 1 or 2 positions, please list only those ones.
(If this essay was not submitted in a completed form by the deadline, you will not be eligible for the selection.)","System Software Engineer (PlayStation System Software, SDK)",0.0,,"9233840 JPY  [[Total amount of CTC]
Bachelor : JPY 9,233,840
Master : JPY 9,763,540
Ph.D. : JPY 10,281,360

[Breakdown of CTC]
1. Gross
(1)Base Salary
Bachelor : JPY 3,525,000
Master : JPY 3,900,000
PhD : JPY 4,275,000
(2)Bonus
Bachelor : JPY 1,175,000
Master : JPY 1,300,000
PhD : JPY 1,425,000
(3)Dormitory Support
JPY 900,000
*2/3 of the dormitory fee will be paid by company
*This applies to all the programs (Bachelor, Master, and Ph.D.).
(4)Commuting Expense
JPY 80,000
*From company dormitory to the office
*This applies to all the programs (Bachelor, Master, and Ph.D.).]",No
"
MNC
",Tokyo,"[Job Description]
PlayStation isn't just the Best Place to Play - it's also the Best Place to Work. We've thrilled gamers since 1994, when we launched the original PlayStation. Today, we're recognized as a global leader in interactive and digital entertainment.

Responsibilities:
Work with an Agile Scrum team to complete sprint breakthroughs, including:
* You will be developing in the team with gaming platform related business features.
* You will participate in Quality Assurance activities such as load and resiliency test.
* Join in cloud deployment of gaming platform services.
* Help monitor production performance.

[Product, Service]
PlayStation Network

[Development Environment]
Java, Python
MySQL, Memcached, Redis
Linux
AWS

[Required Engineering Skills]
* Experience with Java or Python
* Some exposure to AWS, including ec2, cloud formation, s3, elasticache, AWS SDK, or other AWS services.
* Experience with Linux and Docker Containers
* Experience with SQL Database such as MySQL
* Experience with NoSQL Database such as DynamoDB
* Experience in full life-cycle agile software development is a positive.
* Hands-on development experience in web services (e.g. REST, WebSocket, JSON).
* A good work ethic coupled with a real passion for this field.","
Self
",Japan,Sony Japan,108-0075,https://www.sony.net/,"
IT/Software
",1-7-1 Konan Minato-ku,,,"Resume,Online/Offline test (Max 30 mins)",AT_AE_AG_AR_BS_BT_ET_CH_CY_CE_CS_EE_EC_ES_EV_GG_TE_IM_MS_MA_ME_MT_MI_NS_NA_PH_ID_RT_MM_WM_RE,,"In addition to CV, you will have to submit an essay. The
format will be provided for you separately.
Up to three positions are available to apply for.
If you are applying to multiple positions, please list JAF numbers in order of priority in the essay. 
*If you wish to apply to only 1 or 2 positions, please list only those ones.
(If this essay was not submitted in a completed form by the deadline, you will not be eligible for the selection.)",Network Software Engineer (PlayStation Network),0.0,,"9233840 JPY  [[Total amount of CTC]
Bachelor : JPY 9,233,840
Master : JPY 9,763,540
Ph.D. : JPY 10,281,360

[Breakdown of CTC]
1. Gross
(1)Base Salary
Bachelor : JPY 3,525,000
Master : JPY 3,900,000
PhD : JPY 4,275,000
(2)Bonus
Bachelor : JPY 1,175,000
Master : JPY 1,300,000
PhD : JPY 1,425,000
(3)Dormitory Support
JPY 900,000
*2/3 of the dormitory fee will be paid by company
*This applies to all the programs (Bachelor, Master, and Ph.D.).
(4)Commuting Expense
JPY 80,000
*From company dormitory to the office
*This applies to all the programs (Bachelor, Master, and Ph.D.).

2. Other Allowances/Cost
(1)Arrival Allowance * One-time payment
JPY 240,000
(2)Moving Expense * One-time payment
JPY 400,000
(3)Japanese Language Training
JPY 1,900,000
*Japanese language training will be provided.
(3)Overtime payment
JPY 800,000 - Assume 25h/month
*Overtime payment applies to all the programs (Bachelor, Master, and Ph.D.)
*This may vary depending on your overtime hours.
(4)Health Insurance
Bachelor: JPY 213,840
Master: JPY 243,540
Ph.D.: JPY 261,360
*This may vary depending on your Base Salary.]",No
