company,day,com_id,jnf_id,jnf_str,company_fullname
AIRBUS,Day-1,512,,,AIRBUS Group India Private Limited
ALPHAGREP,Day-1,571,1,1,AlphaGrep Securities
AMERICAN EXPRESS,Day-1,562,1,1,AMERICAN EXPRESS
APPDYNAMICS,Day-1,202,4,4,APPDYNAMICS INDIA PVT LTD
APPLE,Day-1,549,1,1,APPLE INDIA PRIVATE LIMITED
AUCTUS ADVISORS,Day-1,323,1,1,AUCTUS ADVISORS
BLACKROCK,Day-1,536,1,1,BLACKROCK
CAPITAL ONE,Day-1,97,2,2,CAPITAL ONE SERVICES (INDIA) PRIVATE LIMITED
COHESITY,Day-1,192,,,Cohesity
EXL SERVICE,Day-1,156,2,2,EXL SERVICE
FLIPKART (SDE),Day-1,118,2,2,FLIPKART
GOLDMAN SACHS,Day-1,140,2,2,GOLDMAN SACHS
GOOGLE (HW),Day-1,201,3,3,GOOGLE
GOOGLE (SW),Day-1,201,2,2,GOOGLE
HALMA,Day-1,285,1,1,HALMA PLC (REP HALMA INDIA)
IBM,Day-1,64,,,IBM Labs
ITC,Day-1,106,3,3,ITC Limited
JLR (MECH),Day-1,392,2,2,Jaguar Land Rover India Limited
JPMC GRC,Day-1,211,4,4,JPMORGAN CHASE & CO.
JPMC QR,Day-1,211,3,3,JPMORGAN CHASE & CO.
MICROSOFT,Day-1,69,2,2,Microsoft India Pvt. Ltd.
MICROSOFT (DS),Day-1,69,4,4,Microsoft India Pvt. Ltd.
NESTLE,Day-1,422,,,Nestle India Ltd.
NOMURA (QUANT),Day-1,45,3,3,NOMURA STRUCTURED FINANCE SERVICES INDIA PVT. LTD.
NOMURA (RISK),Day-1,45,4,4,NOMURA STRUCTURED FINANCE SERVICES INDIA PVT. LTD.
NOMURA (STRATEGY),Day-1,45,5,5,NOMURA STRUCTURED FINANCE SERVICES INDIA PVT. LTD.
PAYPAL,Day-1,673,,,
PROCTER & GAMBLE,Day-1,216,2,2,PROCTER & GAMBLE
QUADEYE,Day-1,165,,,
QUALCOMM,Day-1,162,,,
SONY JAPAN,Day-1,391,1,1,SONY JAPAN
TSMC,Day-1,581,,,Taiwan Semiconductor Manufacturing Company
UBER,Day-1,17,4,4,UBER INDIA SYSTEMS
VEDANTA OIL AND GAS (CAIRN),Day-1,443,1,1,VEDANTA OIL AND GAS
AB INBEV,Day-2,42,2,2,AB INBEV
ACCENTURE JAPAN,Day-2,375,1,1,ACCENTURE JAPAN LTD.
ACCENTURE SOLUTIONS,Day-2,169,2,2,ACCENTURE SOLUTIONS PVT LTD
ADOBE,Day-2,523,1,1,ADOBE
AMAZON (SDE),Day-2,18,1,1,AMAZON INDIA
BAJAJ AUTO,Day-2,154,,,Bajaj Auto Ltd
BARCLAYS,Day-2,455,1,1,BARCLAYS GLOBAL SERVICE CENTER
CITI,Day-2,321,2,2,CITI BANK
DR REDDY,Day-2,148,2,2,Dr.Reddy s laboratories ltd
ESSEX,Day-2,399,1,1,ESSEX LAKE GROUP
EXL SERVICE,Day-2,156,3,3,EXL SERVICE
FLIPKART,Day-2,118,3,3,FLIPKART
FRACTAL,Day-2,449,1,1,FRACTAL ANALYTICS PVT. LTD.
HONEYWELL,Day-2,111,3,3,HONEYWELL
HONEYWELL MECH,Day-2,111,6,6,HONEYWELL
J&J,Day-2,690,,,Johnson & Johnson
JLR,Day-2,392,,1_3,Jaguar Land Rover India Limited
JPMC,Day-2,496,1,1,JPMORGAN CHASE & CO.
LINE CORP,Day-2,474,1,1,LINE CORP
MARVELL,Day-2,546,,,Marvell Semiconductor
MASTERCARD,Day-2,257,6,6,MASTERCARD
MATHWORKS,Day-2,176,3,3,MATHWORKS INDIA PVT LTD
NUTANIX,Day-2,41,1,1,NUTANIX TECHNOLOGIES
NVIDIA,Day-2,89,,,NVIDIA
OLA,Day-2,274,3,3,ANI TECHNOLOGIES
ONE PLUS,Day-2,125,1,1,ONE PLUS
ORACLE,Day-2,149,3,3,ORACLE INDIA PRIVATE LIMITED
RAZORPAY,Day-2,224,3,3,RAZORPAY
SALESFORCE,Day-2,70,2,2,SALESFORCE
SAP,Day-2,389,1,1,SAP
SEMICON,Day-2,,,,
SPRINKLR,Day-2,188,5,5,SPRINKLR INDIA PVT. LTD.
